Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
33,-0.9749967799179061,0.0,0.19433763470463508,0.11454928938400535,16.799020313929724,2.964046705841471,18457.85195285809,(36915.70387862744+0j),(5.814291947192047+0j),(0.9999999500511442+0.00031606167230925045j),(0.9999999500511442-0.00031606167230925045j),(2.708874549330777e-05+0j),(0.1719899876162359+0j)
34,-0.9747628159116898,0.0,0.19451520647762774,0.11848249035198906,16.80516642139858,2.9631051234728347,18606.526527877384,(37213.04755538161+0j),(6.106551854327912+0j),(0.9999999784062354+0.0002078133183541451j),(0.9999999784062354-0.0002078133183541451j),(2.687229126897655e-05+0j),(0.16375853736545518+0j)
35,-0.9745240626802018,0.0,0.19469661625293463,0.12236488207876973,16.81143925867296,2.9621447449970817,18759.28918378394,(37518.5719255727+0j),(6.404290030591661+0j),(0.999999990367785+0.00013880049895145232j),(0.999999990367785-0.00013880049895145232j),(2.6653461943932163e-05+0j),(0.1561453330830225+0j)
36,-0.9742807607799743,0.0,0.19488169964317728,0.12619741805858956,16.817832447638533,2.9611665492974155,18916.069288897936,(37832.126546847765+0j),(6.707222491784223+0j),(0.9999999960750561+8.861428832366472e-05j),(0.9999999960750561-8.861428832366472e-05j),(2.6432552805396826e-05+0j),(0.14909301148207874+0j)
37,-0.9740331367127532,0.0,0.19507030232450584,0.12998109832856766,16.824339943305688,2.960171456701649,19076.788938683272,(38153.57785115668+0j),(7.015069190473804+0j),(0.9999999990308281+4.404517033008619e-05j),(0.9999999990308281-4.404517033008619e-05j),(2.6209866565945126e-05+0j),(0.14255026897754922+0j)
38,-0.9737814033396017,0.0,0.1952622795750721,0.13371695939441156,16.83095601982907,2.9591603310156924,19241.408512820984,(38482.80894283402+0j),(7.327554692749021+0j),(1.0000046827733677+0j),(0.9999953172470425+0j),(2.5985623661826266e-05+0j),(0.13647117516934557+0j)
39,-0.9735257603320491,0.0,0.19545749581038327,0.13740606552297077,16.83767525587088,2.9581339816730217,19409.86119674747,(38819.71937437948+0j),(7.644408737966261+0j),(1.000048238070091+0j),(0.9999517642566516+0j),(2.5760101798954483e-05+0j),(0.13081456450774737+0j)
40,-0.9732663946241378,0.0,0.19565582407413382,0.14104950125741778,16.844492519655805,2.957093165970625,19582.112411458405,(39164.22479738331+0j),(7.965366567565159+0j),(1.0000377311243465+0j),(0.9999622702990018+0j),(2.5533511488544445e-05+0j),(0.1255435002966682+0j)
41,-0.9730034808864723,0.0,0.19585714556072126,0.14464836502249753,16.851402953976738,2.9560385913145346,19758.128397856726,(39516.25677040741+0j),(8.290169330768995+0j),(1.0000596367886405+0j),(0.9999403667633108+0j),(2.5306045787619225e-05+0j),(0.12062479788992955+0j)
42,-0.9727371819908708,0.0,0.19606134912403372,0.14820376369137056,16.858401961365878,2.954970917466153,19937.881182066125,(39875.76233905436+0j),(8.618564184944887+0j),(1.0000511076125382+0j),(0.9999488949996836+0j),(2.507789265705415e-05+0j),(0.11602860738499748+0j)
43,-0.9724676494689615,0.0,0.1962683307975645,0.15171680799769602,16.865485189587037,2.9538907587535372,20121.35194759273,(40242.70387033624+0j),(8.950304564980652+0j),(1.0000529962177833+0j),(0.9999470065908942+0j),(2.484922546488559e-05+0j),(0.11172804151340913+0j)
44,-0.9721950239582088,0.0,0.19647799332553975,0.15518860868975234,16.872648517559394,2.9527986862290896,20308.529361672954,(40617.05869872571+0j),(9.285150188519772+0j),(1.0000583015863318+0j),(0.9999417018137587+0j),(0.10769885028719058+0j),(2.462019842063749e-05+0j)
