Index,Initial x,Initial z,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.3096250354887276,0.0,-2.042191649041143e-09,2.047110130783962,38.140729904994444,2.0110213135465775,1.6638711559538457,(0.9999999999878268+4.480444104670516e-06j),(0.9999999999878268-4.480444104670516e-06j),(0.9991524683645303+0.041162422975435986j),(0.9991524683645303-0.041162422975435986j),(-2.9937084481121845+0j),(-0.3340338637954453+0j)
1,-2.309629391352029,0.0,-5.005151262037332e-05,2.0470895334582275,38.1408138801523,2.0111241213165254,1.6641415211404826,(1.000003269145009+0j),(0.9999967323601718+0j),(-0.7318155885766225+0.6815027090076132j),(-0.7318155885766225-0.6815027090076132j),(-2.9943170743602607+0j),(-0.33396596792062305+0j)
2,-2.3096342766045055,0.0,-7.294675052138754e-05,2.047066380771414,38.14090830417193,2.011239636023989,2.6815389969062147,(-5.169640962648131+0j),(0.9999999988422756+1.1779212108082626e-05j),(0.9999999988422756-1.1779212108082626e-05j),(-0.19343703197706136+0j),(-2.9950000171073303+0j),(-0.3338898144534301+0j)
3,-2.3096392135148265,0.0,-9.037580756547956e-05,2.0470429600837106,38.14100382027672,2.011356466074398,4.655566825567393,(-9.202467107494073+0j),(1.0000082733409101+0j),(0.9999917284279357+0j),(-0.10866651136171944+0j),(-2.995690561369699+0j),(-0.3338128486617606+0j)
4,-2.3096441683520297,0.0,-0.00010500189412563992,2.047019430862659,38.14109977809525,2.011473815472634,6.640500736485618,(-13.205274115397026+0j),(1.0000048081793915+0j),(0.9999951925599098+0j),(-0.07572731836477359+0j),(-2.996383998329472+0j),(-0.3337355961577367+0j)
5,-2.3096491306349782,0.0,-0.00011784746705881205,2.046995842640505,38.14119597561486,2.011591436956361,8.632181761230179,(-17.20624507008529+0j),(1.0000000000646687+5.670791488633935e-06j),(1.0000000000646687-5.670791488633935e-06j),(-0.058118432859262714+0j),(-2.997078864654581+0j),(-0.3336582202735045+0j)
6,-2.309654095737947,0.0,-0.00012943340660387484,2.0469722172705205,38.14129232371111,2.01170922142812,10.628775740818424,(-21.21040476969167+0j),(1.0000000001528284+4.8214731113011896e-06j),(1.0000000001528284-4.8214731113011896e-06j),(-0.04714667206864865+0j),(-2.997774515508974+0j),(-0.33358079296040694+0j)
7,-2.3096590612120393,0.0,-0.00014006759878816658,2.0469485663212232,38.14138877520473,2.011827111133667,12.629312979753337,(-25.218973274636838+0j),(0.9999999993098138+1.1493661897266133e-05j),(0.9999999993098138-1.1493661897266133e-05j),(-0.03965268497460541+0j),(-2.9984706087014494+0j),(-0.3335033523750491+0j)
8,-2.3096640256043663,0.0,-0.00014994987938599666,2.0469248966564684,38.14148530210414,2.0119450718063003,14.633218514798783,(-29.232228163312904+0j),(1.0000064206578292+0j),(0.9999935801318403+0j),(-0.03420881886906557+0j),(-2.999166941511883+0j),(-0.33342592109790303+0j)
9,-2.309668987982626,0.0,-0.00015921863331729873,2.0469012126821813,38.141581886442225,2.012063081451287,16.640123647038543,(-33.25017216295955+0j),(1.0000066189865158+0j),(0.9999933818085918+0j),(-0.03007503215690861+0j),(-2.999863383805459+0j),(-0.3333485136017903+0j)
10,-2.3096739477130486,0.0,-0.00016797436996083425,2.0468775173948015,38.14167851600036,2.0121811251112174,18.64977785204001,(-37.27272643518447+0j),(0.9999999995223267+1.104861595477665e-05j),(0.9999999995223267-1.104861595477665e-05j),(-0.026829268936492394+0j),(-3.000559847138173+0j),(-0.33327113970205874+0j)
11,-2.3096789043453287,0.0,-0.00017629281170378918,2.046853812924803,38.14177518209279,2.0122991921525424,20.66200357629634,(-41.29979384593839+0j),(1.0000093253976423+0j),(0.9999906756594983+0j),(-0.02421319585873987+0j),(-3.0012562686647395+0j),(-0.33319380635392903+0j)
12,-2.3096841050012302,0.0,-0.00018462044607761726,2.046828915598564,38.1418767116356,2.012423176488448,22.777419610125314,(-45.53287706752927+0j),(0.9999999998101742+9.206543508879734e-06j),(0.9999999998101742-9.206543508879734e-06j),(-0.02196215279338829+0j),(-3.0019873999085025+0j),(-0.33311265731177647+0j)
13,-2.3096895612092636,0.0,-0.00019297366239412215,2.046802766331098,38.14198334542863,2.0125533687273744,25.0013387807421,(-49.982670563301845+0j),(1.0000054682369592+0j),(0.9999945321419497+0j),(-0.02000693415235747+0j),(-3.0027549254514057+0j),(-0.333027511344323+0j)
14,-2.309695285037736,0.0,-0.0002013669348063922,2.0467753029899334,38.142095336682374,2.012690074222303,27.33936762111627,(-54.660440475646354+0j),(0.9999999995003114+1.2588509684093683e-05j),(0.9999999995003114-1.2588509684093683e-05j),(-0.01829476665343333+0j),(-3.0035606133269983+0j),(-0.33293817862803066+0j)
