Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.0390383684373807,1.0125254340865261e-08,1.6390202765545705,36.551978915014885,2.4540634836167485,1.0,(0.9942630042183467+0.10696297724063666j),(0.9942630042183467-0.10696297724063666j),(0.9999999998684602+1.1068439561665012e-05j),(0.9999999998684602-1.1068439561665012e-05j),(-0.3564664114794628+0.934308138403466j),(-0.3564664114794628-0.934308138403466j)
1,-2.0390378574979584,9.920649072899372e-06,1.6390195741028903,36.55197790159484,2.454063949602759,1.0,(0.9999563201739665+0.009346650448668701j),(0.9999563201739665-0.009346650448668701j),(0.9999999993878801+3.615343117698861e-06j),(0.9999999993878801-3.615343117698861e-06j),(-0.356459489308899+0.9343107793885528j),(-0.356459489308899-0.9343107793885528j)
2,-2.039037853957798,1.9920836956743053e-05,1.6390195686021716,36.551977895994035,2.454063954610747,1.0000000000174274,(0.9995714647240137+0.029272630843290744j),(0.9995714647240137-0.029272630843290744j),(1.0000059033789537+0j),(0.9999940962138698+0j),(-0.3564597429369435+0.9343106826239997j),(-0.3564597429369435-0.9343106826239997j)
3,-2.0390378482569465,2.9920912961801327e-05,1.6390195597061459,36.55197788706014,2.4540639627820457,1.0000000000258187,(0.9994594361941618+0.03287606781296445j),(0.9994594361941618-0.03287606781296445j),(1.0000071852513823+0j),(0.9999928141069911+0j),(-0.3564595275185781+0.9343107648107382j),(-0.3564595275185781-0.9343107648107382j)
4,-2.0390378403043137,3.992094296944916e-05,1.6390195472896225,36.551977874612305,2.4540639741996104,1.0,(0.9992220373451361+0.039437563492237246j),(0.9992220373451361-0.039437563492237246j),(0.9999999995262272+3.4282099664051774e-06j),(0.9999999995262272-3.4282099664051774e-06j),(-0.3564593223140141+0.9343108431006416j),(-0.3564593223140141-0.9343108431006416j)
5,-2.039037830057138,4.992091205139124e-05,1.63901953129383,36.55197785856577,2.4540639889023934,1.0000000000433977,(0.9989948107229312+0.044825984938316944j),(0.9989948107229312-0.044825984938316944j),(1.0000093151866751+0j),(0.9999906836369584+0j),(-0.35645896459741233+0.9343109795770019j),(-0.35645896459741233-0.9343109795770019j)
6,-2.0390378175586266,5.9920888036236745e-05,1.63901951177815,36.55197783900629,2.454064006851042,1.0,(0.9984621480301601+0.05543772014875102j),(0.9984621480301601-0.05543772014875102j),(0.9999999998361375+1.8177494597161828e-06j),(0.9999999998361375-1.8177494597161828e-06j),(-0.3564588336199716+0.9343110295475953j),(-0.3564588336199716-0.9343110295475953j)
7,-2.039037802802114,6.992082394738239e-05,1.639019488733436,36.55197781592037,2.454064028051589,1.000000000001375,(0.9980293382443662+0.06274902893098654j),(0.9980293382443662-0.06274902893098654j),(0.9999983417496122+0j),(1.0000016581708346+0j),(-0.35645844204458477+0.9343111789415487j),(-0.35645844204458477-0.9343111789415487j)
8,-2.0390377857818787,7.99207511246863e-05,1.639019462151815,36.55197778929699,2.4540640525092696,1.0,(0.9973575943614656+0.07264868600800911j),(0.9973575943614656-0.07264868600800911j),(0.9999999995558682+6.514767656561455e-06j),(0.9999999995558682-6.514767656561455e-06j),(-0.356458197461492+0.934311272254863j),(-0.356458197461492-0.934311272254863j)
9,-2.0390377664836663,8.992065137685486e-05,1.6390194320137037,36.551977759107686,2.454064080237047,1.0000000000009148,(0.9966807544755212+0.0814093016204375j),(0.9966807544755212-0.0814093016204375j),(0.9999986475632897+0j),(1.0000013527460534+0j),(-0.3564578186218917+0.9343114167895641j),(-0.3564578186218917-0.9343114167895641j)
