Index,Initial x,Initial y,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
-671,0.6318151824920407,0.9031692362082622,-0.6307968703934362,19.15405677591892,2.6231654999856744,9.197697545139954,(-18.34087205577211+0j),(-0.054523034510423084+0j),(0.9999999999723961+8.149031575768646e-06j),(0.9999999999723961-8.149031575768646e-06j),(0.8661589121631406+0.4997686853737491j),(0.8661589121631406-0.4997686853737491j)
-670,0.6271132912080359,0.9046023890173404,-0.6269319757303903,19.157203342400464,2.6271163011223133,9.39951008468669,(-18.74567452964093+0j),(-0.053345639735247266+0j),(0.9999999999726229+8.206921918990866e-06j),(0.9999999999726229-8.206921918990866e-06j),(0.8643754037739937+0.5028470556246843j),(0.8643754037739937-0.5028470556246843j)
-669,0.6224252957060312,0.906022149761318,-0.6230725895287381,19.160383297706684,2.6310523770228014,9.5988681690566,(-19.145504753183328+0j),(-0.05223158191618427+0j),(0.9999999999736355+7.976878481328417e-06j),(0.9999999999736355-7.976878481328417e-06j),(0.8625725338926471+0.5059334183209837j),(0.8625725338926471-0.5059334183209837j)
-668,0.617751170650167,0.9074285875204344,-0.6192189915209908,19.163596437944296,2.634973090018208,9.795685399258092,(-19.540194233476402+0j),(-0.05117656395817395+0j),(0.9999999999732628+8.207500936022673e-06j),(0.9999999999732628-8.207500936022673e-06j),(0.8607502658137034+0.5090274844264236j),(0.8607502658137034-0.5090274844264236j)
-667,0.6130909041211418,0.9088217669732658,-0.6153714492465837,19.166842571850545,2.6388778340818977,9.989878202669493,(-19.92957973260343+0j),(-0.050176672736293344+0j),(0.9999999999738322+7.949749892550912e-06j),(0.9999999999738322-7.949749892550912e-06j),(0.8589085575214347+0.512128977715855j),(0.8589085575214347-0.512128977715855j)
-666,0.6084444970444561,0.9102017487653342,-0.6115302188160333,19.17012151989995,2.6427660330283684,10.181365769737257,(-20.3135031981386+0j),(-0.04922833792270785+0j),(0.9999999999677032+8.034355646665468e-06j),(0.9999999999677032-8.034355646665468e-06j),(0.8570473619849105+0.5152376338298499j),(0.8570473619849105-0.5152376338298499j)
-665,0.6038119626265306,0.9115685898624176,-0.6076955456309818,19.17343311345078,2.646637138823473,10.370069999159504,(-20.69181169876849+0j),(-0.04832829596483459+0j),(0.999999999968971+8.175250024262482e-06j),(0.999999999968971-8.175250024262482e-06j),(0.8551666274378351+0.5183531993885789j),(0.8551666274378351-0.5183531993885789j)
-664,0.5991933258922808,0.9129223438585344,-0.6038676650159331,19.17677719401679,2.650490630070466,10.555915454613965,(-21.064357346773473+0j),(-0.04747355845457522+0j),(0.9999999999667619+8.361121105869963e-06j),(0.9999999999667619-8.361121105869963e-06j),(0.8532662976299725+0.5214754311841289j),(0.8532662976299725-0.5214754311841289j)
-663,0.5945886231150642,0.9142630613093076,-0.600046802869361,19.180153612460582,2.654326010504052,10.738829318803727,(-21.43099725324988+0j),(-0.046661384365045626+0j),(0.9999999999712268+8.405626402308894e-06j),(0.9999999999712268-8.405626402308894e-06j),(0.8513463120821186+0.5246040953938714j),(0.8513463120821186-0.5246040953938714j)
-662,0.589997901403358,0.9155907900025788,-0.5962331762059657,19.183562228360763,2.6581428076861884,10.918741359601473,(-21.79159346348646+0j),(-0.04588925549043516+0j),(0.9999999999739304+8.180472061931269e-06j),(0.9999999999739304-8.180472061931269e-06j),(0.8494066062996489+0.5277389668902465j),(0.8494066062996489-0.5277389668902465j)
-661,0.5854212182685113,0.9169055752270672,-0.5924269936818823,19.18700290938202,2.6619405717605202,11.095583876506394,(-22.14601289755039+0j),(-0.04515485494398872+0j),(0.9999999999652788+8.32825323617701e-06j),(0.9999999999652788-8.32825323617701e-06j),(0.8474471119880846+0.5308798285703363j),(0.8474471119880846-0.5308798285703363j)
-660,0.5808586411073018,0.9182074600585772,-0.5886284561303949,19.190475530582702,2.665718874222107,11.269291681962375,(-22.494127316088445+0j),(-0.04445604783758167+0j),(0.9999999999750536+7.691848718469746e-06j),(0.9999999999750536-7.691848718469746e-06j),(0.8454677572628344+0.5340264707192413j),(0.8454677572628344-0.5340264707192413j)
-659,0.5763102469281712,0.9194964855604566,-0.5848377569626251,19.19397997397164,2.669477306919992,11.439802056914823,(-22.835813249494123+0j),(-0.04379086433643053+0j),(0.9999999999678361+8.154156331812369e-06j),(0.9999999999678361-8.154156331812369e-06j),(0.8434684668241033+0.5371786904496921j),(0.8434684668241033-0.5371786904496921j)
-658,0.5717761218314102,0.9207726910538052,-0.5810550826561925,19.19751612784797,2.673215480954364,11.607054729523393,(-23.170951974576695+0j),(-0.04315748447850202+0j),(0.9999999999687665+8.191847526765125e-06j),(0.9999999999687665-8.191847526765125e-06j),(0.8414491621504328+0.540336291133763j),(0.8414491621504328-0.540336291133763j)
-657,0.567256360724077,0.922036114306392,-0.5772806131182492,19.20108388637744,2.6769330257878465,11.77099184130383,(-23.499429457970482+0j),(-0.04255422464125675+0j),(0.9999999999755342+7.553359177014491e-06j),(0.9999999999755342-7.553359177014491e-06j),(0.8394097616572347+0.5434990819076305j),(0.8394097616572347-0.5434990819076305j)
-656,0.5627510669402331,0.923286791744226,-0.5735145220714265,19.204683149092883,2.6806295883457945,11.931557923138577,(-23.821136320761045+0j),(-0.04197952551702081+0j),(0.9999999999797522+7.663113728920852e-06j),(0.9999999999797522-7.663113728920852e-06j),(0.8373501808626979+0.5466668771832325j),(0.8373501808626979-0.5466668771832325j)
-655,0.5582603518868732,0.9245247586483866,-0.569756977409244,19.208313820431,2.6843048321845235,12.088699868138672,(-24.135967794659656+0j),(-0.041431941262639174+0j),(0.9999999999774067+7.609770149045247e-06j),(0.9999999999774067-7.609770149045247e-06j),(0.8352703325447512+0.5498394961901115j),(0.8352703325447512-0.5498394961901115j)
-654,0.5537843347122656,0.9257500493379304,-0.5660081415265406,19.211975809303635,2.6879584367178726,12.24236691426311,(-24.443823698739465+0j),(-0.040910129789289734+0j),(0.9999999999697112+8.195410607215775e-06j),(0.9999999999697112-8.195410607215775e-06j),(0.8331701268853399+0.5530167625540559j),(0.8331701268853399-0.5530167625540559j)
-653,0.5493231419687546,0.9269626973482982,-0.5622681716331536,19.215669028672256,2.6915900964874817,12.392510622105812,(-24.744608400175956+0j),(-0.04041284403964764+0j),(0.9999999999712058+8.189256799637989e-06j),(0.9999999999712058-8.189256799637989e-06j),(0.8310494716155834+0.5561985038880873j),(0.8310494716155834-0.5561985038880873j)
-652,0.5448769073505091,0.9281627355820072,-0.5585372200261878,19.219393395204115,2.695199520512745,12.53908485070434,(-25.03823077558845+0j),(-0.039938924155475175+0j),(0.9999999999738292+7.989655128450716e-06j),(0.9999999999738292-7.989655128450716e-06j),(0.828908272150493+0.5593845514138474j),(0.828908272150493-0.5593845514138474j)
-651,0.5404457713820483,0.9293501964678368,-0.5548154343661669,19.22314882889072,2.698786431651343,12.682045737263351,(-25.324604182563927+0j),(-0.039487290412510666+0j),(0.9999999999700265+7.989451145141457e-06j),(0.9999999999700265-7.989451145141457e-06j),(0.826746431715081+0.5625747396092128j),(0.826746431715081-0.5625747396092128j)
