Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4
128,0.8561585872185571,-6.025466145749838e-51,0.47575987733980474,2.9665323329729962,2.168783625393555,1.0000000000152032,(0.9999944858211791+0j),(-0.36226394860493905+0.9320755503372258j),(0.1586026978055708-0.9873424857914106j),(1.0000055142121005+0j)
129,0.8533002974533356,-1.8411940782456636e-40,0.4772157406763337,2.963853377097264,2.228439660848935,1.0000000000129852,(0.9999949039132516+0j),(-0.39528463848194845+0.9185586832509933j),(0.14497209411931933-0.9894357442131487j),(1.0000050961154068+0j)
130,0.8504444125774857,-1.4026437108505689e-40,0.4788138418305322,2.961264021063983,2.2880815922152764,1.000000000011938,(0.9999951137089117+0j),(-0.42664587554429234+0.9044187619001439j),(0.13269742877532859-0.9911565932769603j),(1.0000048863174815+0j)
131,0.8475896721672312,1.0690225724641164e-40,0.480549478728916,2.9587570792080156,2.3477083654550563,1.000000000010941,(0.9999953221979127+0j),(-0.4563527289393829+0.8897989586338438j),(0.12177828049724773-0.9925573285201761j),(1.0000046778262697+0j)
132,0.844734800775543,8.232908737601165e-41,0.48241857262251414,2.95632592063407,2.4073189751601696,1.0000000000098836,(0.9999955539885321+0j),(-0.48441824387394705+0.8748365361590084j),(0.11221095715089141-0.9936844071913676j),(1.0000044460333275+0j)
133,0.8418785046778139,6.616370829156056e-41,0.48441761876638145,2.9539644048146756,2.4669124441686705,1.0000000000090326,(0.9999957497171897+0j),(-0.5108625116699568+0.8596624303569288j),(0.10398889352947673-0.994578458454885j),(1.0000042503027962+0j)
134,0.8390194685661976,1.1098283837452551e-40,0.4865436442625954,2.95166682516749,2.5264878057908016,1.000000000008427,(0.9999958946743508+0j),(-0.5357117570124079+0.844400919821742j),(0.0971030107925405-0.9952743367006941j),(1.0000041053442965+0j)
135,0.8361563521760373,7.040803520970408e-52,0.48879417214973725,2.9494278593930607,2.5860440880376174,1.000000000007995,(0.9999960012948452+0j),(-0.5589974489077421+0.8291693748035149j),(0.09154203717200396-0.9958012128082515j),(1.0000039987227354+0j)
136,0.8332877868254184,3.9976340209648753e-63,0.4911671909774396,2.947242525552877,2.645580299353844,1.0000000000074478,(0.9999961405336109+0j),(-0.5807554409565465+0.8140780784402942j),(0.08729279003825652-0.9961826985083232j),(1.0000038594827059+0j)
137,0.8304123718470016,2.12967916568629e-74,0.4936611292341586,2.945106143029826,2.7050954154395437,1.0000000000071252,(0.9999962250316141+0j),(-0.6010251456908817+0.7992301134499206j),(0.08434041985209506-0.9964369993025958j),(1.0000037749839203+0j)
138,0.8275286708897235,6.255396344745983e-41,0.4962748341049264,2.9430142976460476,2.764588366808173,1.0000000000064628,(0.999996404750377+0j),(-0.6198487469367613+0.7847213078023898j),(0.08266861691536578-0.996577091738161j),(1.0000035952636657+0j)
139,0.824635208066547,1.1900947597817806e-40,0.49900755412737247,2.9409628103223096,2.8240580267759183,1.0000000000061955,(0.9999964799280597+0j),(-0.63727045343529+0.770640233297452j),(0.08225978217447366-0.9966109211907124j),(1.0000035200853201+0j)
140,0.8217304639230836,5.416859343694013e-41,0.501858925392085,2.938947708752851,2.883503199611794,1.0000000000056162,(0.9999966485305936+0j),(-0.653335796298393+0.757068251397223j),(0.08309516362690689-0.9965416166833222j),(1.00000335148152+0j)
141,0.8188128712005556,2.0407889723665385e-52,0.5048289610000193,2.9369652016435905,2.9429226086022258,1.0000000000044826,(0.9999970057983631+0j),(-0.6680909722738109+0.7440796010946163j),(0.08515496013593926-0.9963677196518567j),(1.0000029942112396+0j)
142,0.8158808103651178,-5.085031867341896e-41,0.5079180435472406,2.9350116551226524,3.002314883799384,1.0000000000040177,(0.999997165321607+0j),(-0.6815822342583853+0.7317415239975769j),(0.08841839467051174-0.9960834239579955j),(1.0000028346870182+0j)
143,0.812932604874021,-4.910149818994159e-41,0.5111269204575914,2.9330835709824736,3.0616785492305714,1.0000000000042586,(0.999997081602842+0j),(-0.6938553300299166+0.7201144221496628j),(0.09286375916305166-0.9956788248396666j),(1.0000029184063184+0j)
144,0.8099665161474299,-5.098484332599414e-41,0.5144567020283632,2.9311775664541573,3.1210120093473366,1.0000000000038904,(0.9999972105959556+0j),(-0.7049549897337012+0.7092520443738467j),(0.09846843331574301-0.9951401748700202j),(1.000002789412466+0j)
145,0.8069807382129114,5.300271311462188e-41,0.5179088620937906,2.92929035524874,3.18031353448821,1.0000000000036489,(0.9999972985468094+0j),(-0.7149244623012776+0.6992016970819781j),(0.10520887979130622-0.9944501453632804j),(1.000002701461024+0j)
146,0.8039733919876684,1.3588946554606927e-52,0.5214852412472998,2.927418729627753,3.239581245118261,1.0000000000023326,(0.9999978401298297+0j),(-0.723805100668789+0.690004475525513j),(0.1130606182984458-0.9935880920129653j),(1.000002159875132+0j)
147,0.8009425191615523,3.204754114193932e-64,0.5251880525965793,2.925559543287897,3.298813094592123,1.000000000001883,(0.9999980594611515+0j),(-0.7316359953768585+0.681695511404037j),(0.12199818112814151-0.9925303238699644j),(1.000001940542838+0j)
148,0.7978860756417578,7.162622295381455e-76,0.5290198900564748,2.9237096948625028,3.358006850164523,1.0000000000015168,(0.9999982583269954+0j),(-0.7384536559305628+0.6743042325556269j),(0.13199505271708278-0.9912503750608138j),(1.000001741676166+0j)
149,0.794801924517931,1.3542148359235032e-40,0.53298373921387,2.921866111856461,3.4171600719433175,1.000000000001295,(0.99999839067822+0j),(-0.7442917390923602+0.6678546302292985j),(0.14302359581212354-0.9897192789073871j),(1.000001609324324+0j)
150,0.7916878285043112,1.4815648403613426e-40,0.5370829908265693,2.920025734841862,3.4762700894440335,1.0000000000008153,(0.9999987229504363+0j),(0.15505496678609154+0.9879058443368735j),(-0.7491808231568744-0.6623655291559276j),(1.0000012770510018+0j)
151,0.7885414418135409,2.6916880930493914e-52,0.541321457045003,2.9181855017491674,3.5353339753611435,1.0,(0.9999999999997378-4.013542131566742e-07j),(0.9999999999997378+4.013542131566742e-07j),(-0.7531482271384662+0.657850855406018j),(-0.7531482271384662-0.657850855406018j)
152,0.7853603014151038,4.771522792244299e-64,0.5457033904714624,2.9163423320937514,3.5943485161188757,1.0,(0.9999999999992955-9.535784530856791e-07j),(0.9999999999992955+9.535784530856791e-07j),(-0.7562178737334722+0.6543198968749682j),(-0.7562178737334722-0.6543198968749682j)
