Index,Initial x,Initial z,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.2542322977444527,0.0,-5.837099305845199e-08,1.9137791631365122,25.381206149296993,2.307697597303443,1.0,(0.9999999998577076+1.4803618298893545e-05j),(0.9999999998577076-1.4803618298893545e-05j),(0.999655730801351+0.02623775788325023j),(0.999655730801351-0.02623775788325023j),(0.8163381686126188+0.5775742328609461j),(0.8163381686126188-0.5775742328609461j)
1,-2.254231497615279,0.0,9.975526847307675e-05,1.9137795192518683,25.381200108719057,2.307692933265572,1.000000007472283,(1.000122221449504+0j),(0.9998777595020528+0j),(0.9998748803100932+0.01581953528939075j),(0.9998748803100932-0.01581953528939075j),(0.8163425793718332+0.5775679986834992j),(0.8163425793718332-0.5775679986834992j)
2,-2.2542300438366967,0.0,0.00019935926511365585,1.9137785099213167,25.381191395500906,2.3076907871691414,1.0000000077830484,(1.0001247499505483+0j),(0.9998752436167995+0j),(0.9995005373996928+0.03160217924836153j),(0.9995005373996928-0.03160217924836153j),(0.8163443968086765+0.5775654298845893j),(0.8163443968086765-0.5775654298845893j)
3,-2.2542276417024296,0.0,0.0002982742338432723,1.913776842687599,25.381176998026337,2.3076872391047347,1.0000000077595168,(0.9998754323461828+0j),(1.0001245693456369+0j),(0.9988804055769132+0.047306967405574454j),(0.9988804055769132-0.047306967405574454j),(0.8163473995376704+0.5775611857342942j),(0.8163473995376704-0.5775611857342942j)
4,-2.25422432270665,0.0,0.00039619193946496204,1.9137745408341853,25.381157102890167,2.3076823301555103,1.000000007746213,(0.9980210472420216+0.06288083249598177j),(0.9980210472420216-0.06288083249598177j),(1.0001244664903515+0j),(0.9998755391720014+0j),(0.8163515556706673+0.5775553112496669j),(0.8163515556706673-0.5775553112496669j)
5,-2.2542201279240808,0.0,0.0004928434171804659,1.913771634403957,25.38113195422128,2.30767611513932,1.0000000075964228,(0.9969307008704257+0.07828911634889844j),(0.9969307008704257-0.07828911634889844j),(1.0001232587862725+0j),(0.9998767483338503+0j),(0.8163568203269528+0.5775478697945664j),(0.8163568203269528-0.5775478697945664j)
6,-2.2542151054854274,0.0,0.0005880049525573926,1.91376815862149,25.38110183806536,2.3076686582115253,1.0000000074086917,(0.995619008851494+0.09350291929991933j),(0.995619008851494-0.09350291929991933j),(1.0001217273985397+0j),(0.9998782807340704+0j),(0.816363141001617+0.5775389354949012j),(0.816363141001617-0.5775389354949012j)
7,-2.2542093084112875,0.0,0.0006815009694759026,1.9137641522854916,25.38106706954553,2.307660030054213,1.0000000149438697,(0.9940963462666541+0.1085009707767557j),(0.9940963462666541-0.1085009707767557j),(0.9998271342337008+0j),(1.000172889342836+0j),(0.8163704582221096+0.5775285923145557j),(0.8163704582221096-0.5775285923145557j)
8,-2.254202790794101,0.0,0.000773199051441342,1.9137596550472709,25.381027970082837,2.307650302544734,1.000000014471922,(0.9923739848212498+0.12326345889102153j),(0.9923739848212498-0.12326345889102153j),(1.0001701373462915+0j),(0.9998298855664838+0j),(0.816378716578866+0.5775169184670245j),(0.816378716578866-0.5775169184670245j)
9,-2.2541956080963987,0.0,0.0008630114234451482,1.9137547075376775,25.380984869290124,2.3076395494485262,1.000000013961242,(0.9904627466001+0.1377808106703341j),(0.9904627466001-0.1377808106703341j),(1.000167109988402+0j),(0.9998329137397424+0j),(0.8163878540660023+0.5775040014858842j),(0.8163878540660023-0.5775040014858842j)
