Index,Initial x,Initial z,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1776303076921713,0.0,8.10542660688759e-09,-0.2247429619580624,19.739726359263766,3.1249091723201543,1.000000021578272,(1.0002077626072652+0j),(0.9997922800453812+0j),(0.9835951410485119+0.18039012991174783j),(0.9835951410485119-0.18039012991174783j),(0.8963926807341969+0.44326082832236574j),(0.8963926807341969-0.44326082832236574j)
1,1.1776303460336186,0.0,1.6737283879678647e-05,-0.22474500544972037,19.739750652021158,3.124908264437052,1.0000000031153489,(-0.6906796248616632+0.7231608790540139j),(-0.6906796248616632-0.7231608790540139j),(1.0000789366552902+0j),(0.9999210683444077+0j),(0.8964001142102791+0.4432457955155589j),(0.8964001142102791-0.4432457955155589j)
2,1.1776303974509899,0.0,2.547583020252075e-05,-0.22474764607462708,19.739779213750978,3.1249070917734594,2.916560799088112,(-5.656328470767134+0j),(1.000085421970888+0j),(0.9999145844373052+0j),(-0.17679312752470608+0j),(0.8964083245091252+0.4432291909941247j),(0.8964083245091252-0.4432291909941247j)
3,1.17763044992177,0.0,3.202353440438333e-05,-0.22475034088297763,19.739808363464242,3.1249058950329274,5.187908041414265,(-10.278525866999956+0j),(1.00008631474474+0j),(0.9999136915779177+0j),(-0.09729021593991297+0j),(0.8964167038197366+0.44321224386369873j),(0.8964167038197366-0.44321224386369873j)
4,1.1776305027887313,0.0,3.748186981335951e-05,-0.22475305613873267,19.739837736746857,3.124904689196632,7.476272667432048,(-14.885365252645304+0j),(-0.06718007806649802+0j),(1.000087463222435+0j),(0.999912544844302+0j),(0.8964251474821667+0.4431951657679457j),(0.8964251474821667-0.4431951657679457j)
5,1.1776305384930668,0.0,4.075710758266785e-05,-0.2247548899780858,19.739857576388072,3.1249038747858364,9.021670689111442,(-17.98774798204019+0j),(-0.05559339622766457+0j),(1.0000867274779528+0j),(0.9999132790812957+0j),(0.8964308506462928+0.4431836301221598j),(0.8964308506462928-0.4431836301221598j)
6,1.1776305746114237,0.0,4.382224078876494e-05,-0.22475674512822968,19.73987764768241,3.1249030509037863,10.584926689455113,(-21.122510521678663+0j),(-0.04734285725992412+0j),(1.0000872871140902+0j),(0.9999127196597061+0j),(0.8964366204389315+0.44317195932836484j),(0.8964366204389315-0.44317195932836484j)
7,1.1776306111348134,0.0,4.6717962526161476e-05,-0.2247586211314043,19.73989794576523,3.1249022177535175,12.165650335830929,(-24.29013168942718+0j),(-0.0411689822585153+0j),(1.0000872773399752+0j),(0.999912729674948+0j),(0.8964424554721793+0.44316015618054416j),(0.8964424554721793-0.44316015618054416j)
8,1.1776306480581236,0.0,4.9473665575945004e-05,-0.22476051772589808,19.739918467830122,3.1249013754510213,13.763617398816118,(-27.49085907006944+0j),(-0.03637572760050752+0j),(1.0000865552730318+0j),(0.9999134514183564+0j),(0.8964483549335915+0.44314822230925893j),(0.8964483549335915-0.44314822230925893j)
9,1.1776306853787275,0.0,5.211139288611072e-05,-0.224762434776478,19.73993921240738,3.124900524056124,15.378711029630752,(-30.724875140993777+0j),(-0.032546918288934676+0j),(1.0000868270207899+0j),(0.9999131799719081+0j),(0.896454318396569+0.44313615856429034j),(0.896454318396569-0.44313615856429034j)
10,1.17763072309519,0.0,5.464814713996992e-05,-0.2247643722158154,19.739960178935792,3.1248996635984576,17.010869669606446,(-33.99232093021243+0j),(1.0000868541271042+0j),(0.9999131524888084+0j),(-0.029418409030759953+0j),(0.8964603457278533+0.4431239652022332j),(0.8964603457278533-0.4431239652022332j)
11,1.177630761207808,0.0,5.70974119688407e-05,-0.22476633005699953,19.7399813674807,3.1248987940719832,18.66010200373921,(-37.2933896038905+0j),(1.0000872361387791+0j),(0.9999127709815598+0j),(-0.026814403599656773+0j),(0.8964664369222807+0.4431116422200605j),(0.8964664369222807-0.4431116422200605j)
12,1.1776307997173314,0.0,5.94700510658864e-05,-0.22476830834135086,19.740002778570464,3.124897915458094,20.32643815884033,(-40.62826290995963+0j),(1.000086886924283+0j),(0.9999131199993466+0j),(-0.02461340773406535+0j),(0.8964725921390599+0.4430991892822557j),(0.8964725921390599-0.4430991892822557j)
13,1.1776308386252252,0.0,6.1774986514908e-05,-0.22477030714590482,19.74002441307375,3.1248970277223234,22.009940523266003,(-43.99715230279155+0j),(1.000087398276469+0j),(0.9999126085450672+0j),(-0.022728743747002688+0j),(0.89647881163495+0.44308660585569803j),(0.89647881163495-0.44308660585569803j)
14,1.1776308779333904,0.0,6.401964505538752e-05,-0.22477232657023535,19.740046272120825,3.1248961308201895,23.710688618382292,(-47.4002803151145+0j),(1.0000872403999628+0j),(0.9999127664126061+0j),(-0.021096921666728663+0j),(0.8964850957300906+0.44307389127882507j),(0.8964850957300906-0.44307389127882507j)
15,1.1776309176441595,0.0,6.621029049014603e-05,-0.2247743667353479,19.740068357045903,3.124895224697692,25.42878051746557,(-50.83789066728066+0j),(1.0000869720098529+0j),(0.9999130348649231+0j),(-0.01967036766455702+0j),(0.8964914448112324+0.4430610447550495j),(0.8964914448112324-0.4430610447550495j)
16,1.1776309577600759,0.0,6.835225687401922e-05,-0.224776427774259,19.740090669347705,3.124894309295485,27.1643250677425,(-54.310237400651545+0j),(1.0000872476075968+0j),(0.9999127591821061+0j),(-0.018412734850444944+0j),(0.8964978593157752+0.44304806538502217j),(0.8964978593157752-0.44304806538502217j)
17,1.1776309982839779,0.0,7.045013577891416e-05,-0.22477850983443456,19.740113210658276,3.1248933845478035,28.91744183242236,(-57.81758788969222+0j),(1.0000870995227105+0j),(0.9999129073999616+0j),(-0.017295775160742783+0j),(0.8965043397085122+0.4430349522136853j),(0.8965043397085122-0.4430349522136853j)
18,1.1776310392189069,0.0,7.250791055142604e-05,-0.22478061307318664,19.740135982721235,3.124892450384509,30.68833335428352,(-61.360369544657814+0j),(1.0001347495793236+0j),(0.9998652680058869+0j),(-0.01629716391389573+0j),(0.8965108869818825+0.4430217032180274j),(0.8965108869818825-0.4430217032180274j)
19,1.1776310859167236,0.0,7.478653462487453e-05,-0.22478301248539806,19.74016196330173,3.124891384663162,32.70827922028697,(-65.40126821719969+0j),(1.0000864796723263+0j),(0.9999135272199954+0j),(-0.01529022338766825+0j),(0.8965183557699212+0.4430065888526446j),(0.8965183557699212-0.4430065888526446j)
20,1.1776311276837697,0.0,7.676751003769261e-05,-0.22478515861412887,19.740185202982104,3.1248904314299035,34.51497381614642,(-69.01545812476553+0j),(1.0001267054894887+0j),(0.9998733098000354+0j),(-0.014489507537608772+0j),(0.8965250375086404+0.44299306667193367j),(0.8965250375086404-0.44299306667193367j)
21,1.1776311753287751,0.0,7.896687268943987e-05,-0.2247876068510976,19.740211715971753,3.1248893439993295,36.57570751870179,(-73.13774220625191+0j),(1.0000874119060053+0j),(0.9999125951759227+0j),(-0.013672831157298306+0j),(0.8965326595907812+0.44297764084244173j),(0.8965326595907812-0.44297764084244173j)
22,1.1776312179414319,0.0,8.088351134991852e-05,-0.22478979657112658,19.740235431059872,3.124888371383376,38.418783603515095,(-76.82455053471594+0j),(1.00012043864575+0j),(0.9998795751170855+0j),(-0.013016672325569845+0j),(0.8965394780604472+0.4429638408249235j),(0.8965394780604472-0.4429638408249235j)
23,1.1776312665494868,0.0,8.301605408266553e-05,-0.22479229445594123,19.740262485582516,3.1248872618765766,40.521035801959115,(-81.02973045463402+0j),(1.0001340172986721+0j),(0.999865999839233+0j),(-0.012341149293735637+0j),(0.8965472565384213+0.4429480971769855j),(0.8965472565384213-0.4429480971769855j)
24,1.1776313156455842,0.0,8.511605264965076e-05,-0.22479481750546848,19.740289814679645,3.124886141179007,42.64425251093004,(-85.27677850008487+0j),(1.0001296596559235+0j),(0.9998703564402165+0j),(-0.011726521786936344+0j),(0.8965551138057225+0.4429321933521357j),(0.8965551138057225-0.4429321933521357j)
25,1.1776313652334665,0.0,8.718602382338607e-05,-0.22479736592123356,19.7403174207995,3.1248850092007197,44.78862176343536,(-89.56607858568103+0j),(1.0001273814007183+0j),(0.9998726338037965+0j),(-0.011164941200245818+0j),(0.8965630508276095+0.4429161273758607j),(0.8965630508276095-0.4429161273758607j)
26,1.1776314153177119,0.0,8.922824857037337e-05,-0.22479993993819306,19.740345306444986,3.1248838658369613,46.95433696852691,(-93.8980240856886+0j),(1.0001243779665832+0j),(0.999875636550889+0j),(-0.010649851373626527+0j),(0.8965710682976065+0.4428998978218925j),(0.8965710682976065-0.4428998978218925j)
27,1.1776314659027445,0.0,9.124477186634689e-05,-0.2248025397861946,19.74037347417562,3.1248827109852235,49.14158568964007,(-98.27299564388662+0j),(1.000121959830516+0j),(0.9998780539221225+0j),(-0.01017573540435349+0j),(0.8965791669572554+0.44288350316669295j),(0.8965791669572554-0.44288350316669295j)
