Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
15,-2.0088406948279607,0.0,1.4226477888770928,-0.015130781113588248,55.88030119193147,3.0088815641525897,22994.982623230946,(45989.96522471802+0j),(2.1744420631032254e-05+0j),(0.8389555991679833+0.5441998396818054j),(0.8389555991679833-0.5441998396818054j),(0.9999988767682934+0j),(1.0000011248929985+0j)
16,-2.008886712496615,0.0,1.422738303720253,-0.016203009488400283,55.880299564093356,3.0087523752629766,23029.811404521686,(46059.62278733238+0j),(0.8158594581486951+0.5782502059731424j),(0.8158594581486951-0.5782502059731424j),(2.171232277748202e-05+0j),(0.9999988311655591+0j),(1.000001170826469+0j)
17,-2.008936627779876,0.0,1.4228364751637217,-0.01729057141868046,55.880297820489616,3.008612276017237,23068.356268991753,(46135.09438401379+0j),(0.7909710155878733+0.6118536435121221j),(0.7909710155878733-0.6118536435121221j),(2.1674712944631926e-05+0j),(0.9999999996228044+9.421864102373943e-07j),(0.9999999996228044-9.421864102373943e-07j)
18,-2.008990591370273,0.0,1.422942597132003,-0.018393626529244585,55.880295961347436,3.0084608513642226,23108.293202467732,(46216.586383298214+0j),(0.7642545531560923+0.6449147562181513j),(0.7642545531560923-0.6449147562181513j),(2.163756756252424e-05+0j),(0.999999999758642+1.4782388564409884e-06j),(0.999999999758642-1.4782388564409884e-06j)
19,-2.0090487585157955,0.0,1.4230569721740973,-0.019512332768383087,55.88029398747973,3.0082976745492442,23152.15452753367,(46304.30903347107+0j),(0.7356769969299588+0.6773325168841353j),(0.7356769969299588-0.6773325168841353j),(2.159874795166421e-05+0j),(0.999999341664891+0j),(1.0000006591929476+0j)
20,-2.0091112891214937,0.0,1.423179911631482,-0.020646846198552008,55.88029190035105,3.0081223069323926,23199.238269128466,(46398.4765167045+0j),(0.7052082073555085+0.7090002734923933j),(0.7052082073555085-0.7090002734923933j),(2.1553209483083727e-05+0j),(0.9999999997010802+4.090687960511189e-07j),(0.9999999997010802-4.090687960511189e-07j)
21,-2.0091783478516367,0.0,1.4233117358046825,-0.021797320777978794,55.88028970214873,3.0079342978135695,23249.653287785186,(46499.30655406468+0j),(0.6728212808316365+0.7398049527307088j),(0.6728212808316365-0.7398049527307088j),(2.1507204127973465e-05+0j),(1.0000022472509946+0j),(0.9999977531412424+0j)
22,-2.00925010423225,0.0,1.423452774118012,-0.022963908133026015,55.880287395859405,3.0077331842649433,23303.51014489963,(46607.02026834326+0j),(0.6384928912674918+0.769627722521682j),(0.6384928912674918-0.769627722521682j),(2.145686302568394e-05+0j),(1.000000001081839+4.486995579370216e-07j),(1.000000001081839-4.486995579370216e-07j)
23,-2.009326732754027,0.0,1.4236033652822362,-0.02414675732113214,55.88028498535044,3.0075184909716888,23361.016998948195,(46721.842035441805+0j),(0.6022036120911162+0.7983425437001284j),(0.6022036120911162-0.7983425437001284j),(2.140317779194116e-05+0j),(1.0000000005174536+5.456671985232471e-07j),(1.0000000005174536-5.456671985232471e-07j)
24,-2.0094084129753966,0.0,1.4237638574546418,-0.02534601458420114,55.88028247545849,3.00728973008188,23421.999669557383,(46843.99931776732+0j),(0.5639382458025912+0.8258169123839929j),(0.5639382458025912-0.8258169123839929j),(2.135053880456585e-05+0j),(0.9999983844249551+0j),(1.000001614154687+0j)
25,-2.009495329625766,0.0,1.423934608396257,-0.026561823092280768,55.880279872083584,3.007046401066521,23486.861145303814,(46973.72226931913+0j),(0.5236861737843032+0.8519112535442599j),(0.5236861737843032-0.8519112535442599j),(2.128965014366997e-05+0j),(1.0000004623701215+0j),(0.9999995380473664+0j)
26,-2.0095876727087947,0.0,1.424115985625809,-0.027794322677402637,55.88027718228956,3.0067879905905563,23555.62172902662,(47111.24343682689+0j),(0.4814416873141618+0.8764780762609664j),(0.4814416873141618-0.8764780762609664j),(2.1226768577372142e-05+0j),(1.0000016185530607+0j),(0.9999983806552347+0j)
27,-2.0096856376055876,0.0,1.4243083665699887,-0.02904364955746914,55.880274414412376,3.006513972395923,23628.544610630706,(47256.79758837825+0j),(0.43720432532185627+0.8993622415986466j),(0.43720432532185627-0.8993622415986466j),(2.1160846275692157e-05+0j),(0.9999999994145594+1.3518893460817243e-06j),(0.9999999994145594-1.3518893460817243e-06j)
28,-2.009789425177772,0.0,1.4245121387096678,-0.030309936050069906,55.88027157817453,3.006223807197699,23705.310532558273,(47410.62104402423+0j),(0.39097922040536814+0.920399514838352j),(0.39097922040536814-0.920399514838352j),(2.1093601364476573e-05+0j),(0.9999999996513927+7.182339282631101e-07j),(0.9999999996513927-7.182339282631101e-07j)
29,-2.0098992418702877,0.0,1.424727699721601,-0.03159331027614427,55.880268684808,3.0059169425943395,23786.47584216698,(47572.95166331361+0j),(0.34277742336842876+0.9394166082107965j),(0.34277742336842876-0.9394166082107965j),(2.1023432252792057e-05+0j),(0.9999985694314845+0j),(1.0000014282010858+0j)
