Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
72,-0.9375632460605922,0.0,0.11584216176550217,-0.07190653472159166,24.282751375435513,3.007994351974107,12743.592559901574,(25487.184587840187+0j),(2.1037473900350254+0j),(3.9235403864290703e-05+0j),(0.47534224153175386+0j),(0.999999999998487+9.281677008431758e-07j),(0.999999999998487-9.281677008431758e-07j)
73,-0.9375268858725678,0.0,0.11586083726494228,-0.07290244887377237,24.282590326822557,3.0078617538973367,12742.449681548775,(25484.89850760985+0j),(2.123548189109937+0j),(3.9238922912432823e-05+0j),(0.4709099633960719+0j),(0.9999999999987774+1.1181595211845426e-06j),(0.9999999999987774-1.1181595211845426e-06j)
74,-0.937489973052931,0.0,0.11587963509403935,-0.07389823918526263,24.282426794062417,3.0077274132091314,12741.291885867131,(25482.583732491774+0j),(2.1434549584913047+0j),(3.924248912840194e-05+0j),(0.46653651201687824+0j),(0.9999999999997342+2.3845044800545855e-07j),(0.9999999999997342-2.3845044800545855e-07j)
75,-0.9374525054182811,0.0,0.11589854938372669,-0.07489390330978392,24.28226076542464,3.007591333735274,12740.120214291677,(25480.240389337258+0j),(2.1634663654486967+0j),(3.9246106604849965e-05+0j),(0.4622211909403413+0j),(1.0000010652745395+0j),(0.9999989347285478+0j)
76,-0.9374144807500424,0.0,0.11591757416346334,-0.07588943886757604,24.282092228953417,3.0074535193738186,12738.934324182179,(25477.86860911461+0j),(2.183581037489847+0j),(3.924975713248436e-05+0j),(0.4579633101926092+0j),(0.999999999999069+7.433163490032468e-07j),(0.999999999999069-7.433163490032468e-07j)
77,-0.9373758967942473,0.0,0.11593670336027218,-0.07688484344440574,24.281921172464372,3.0073139740960526,12737.73428138421,(25475.46852351497+0j),(2.2037975612970087+0j),(3.925345375649574e-05+0j),(0.45376218649227607+0j),(0.9999999999998591+1.0621894342246253e-06j),(0.9999999999998591-1.0621894342246253e-06j)
78,-0.9373367512613519,0.0,0.11595593079784354,-0.07788011459057441,24.281747583541883,3.0071727019474537,12736.5211099414,(25473.04026671412+0j),(2.2241144835675137+0j),(3.9257187771650774e-05+0j),(0.4496171430873395+0j),(0.9999999999989904+7.297099114126264e-07j),(0.9999999999989904-7.297099114126264e-07j)
79,-0.9372970418260088,0.0,0.11597525019553118,-0.07887524981988037,24.281571449535946,3.0070297070486998,12735.292750741946,(25470.583976163052+0j),(2.244530310488073+0j),(3.926097425138362e-05+0j),(0.445527509839658+0j),(0.9999994372655738+0j),(1.0000005627362791+0j)
80,-0.9372567661268891,0.0,0.11599465516743371,-0.07987024660855703,24.28139275755908,3.00688499359667,12734.051408270641,(25468.099789627697+0j),(2.265043507637323+0j),(3.9264801494842184e-05+0j),(0.441492623266725+0j),(0.9999999999991624+1.4047075643043785e-06j),(0.9999999999991624-1.4047075643043785e-06j)
81,-0.9372159217664626,0.0,0.11601413922138892,-0.08086510239418454,24.281211494483234,3.006738565865494,12732.793943249068,(25465.587847229457+0j),(2.285652498523935+0j),(3.926868026571241e-05+0j),(0.43751182677737777+0j),(0.9999999999986254+8.200127312201065e-07j),(0.9999999999986254-8.200127312201065e-07j)
82,-0.9371745063107791,0.0,0.11603369575793197,-0.08185981457457314,24.281027646936657,3.006590428207626,12731.524207920367,(25463.04829577617+0j),(2.3063556664614246+0j),(3.9272595535742295e-05+0j),(0.4335844703189904+0j),(0.9999999999975469+6.434222380181433e-07j),(0.9999999999975469-6.434222380181433e-07j)
83,-0.9371325172893005,0.0,0.11605331806936497,-0.08285438050660834,24.280841201300568,3.0064405850549094,12730.242404850724,(25460.48127850533+0j),(2.327151352906991+0j),(3.927654987785653e-05+0j),(0.4297099106786549+0j),(0.9999999999995675+1.5376972376549826e-06j),(0.9999999999995675-1.5376972376549826e-06j)
84,-0.9370899521946706,0.0,0.11607299933867787,-0.08384879750507254,24.28065214370593,3.0062890409197016,12728.945772742896,(25457.886944685102+0j),(2.3480378567564153+0j),(3.9280550777595024e-05+0j),(0.42588751162021377+0j),(0.9999990191902778+0j),(1.0000009808091666+0j)
85,-0.9370468084825164,0.0,0.11609273263850291,-0.08484306284142995,24.28046046003007,3.0061358003960197,12727.632741752297,(25455.265444219993+0j),(2.369013436517669+0j),(3.928460657061019e-05+0j),(0.4221166433969555+0j),(0.9999993775215623+0j),(1.0000006224820612+0j)
86,-0.937003083571241,0.0,0.11611251093005974,-0.08583717374257711,24.280266135893253,3.0059808681606985,12726.308484188181,(25452.61692908767+0j),(2.3900763075423406+0j),(3.9288691042566676e-05+0j),(0.41839668333770386+0j),(0.999999999999045+1.4719389079703589e-06j),(0.999999999999045-1.4719389079703589e-06j)
87,-0.9369587748418349,0.0,0.11613232706211003,-0.08683112738956672,24.280069156655312,3.0058242489745735,12724.971628999589,(25449.941555056022+0j),(2.4112246423884343+0j),(3.929281851069021e-05+0j),(0.4147270156502002+0j),(0.9999999999999079+8.930509140849272e-07j),(0.9999999999999079-8.930509140849272e-07j)
88,-0.9369138796376648,0.0,0.11615217376983752,-0.08782492091628526,24.279869507412016,3.0056659476837044,12723.619949888152,(25447.239478779353+0j),(2.4324565721303153+0j),(3.929699273802359e-05+0j),(0.4111070312446154+0j),(0.9999999999989297+7.773139397093318e-07j),(0.9999999999989297-7.773139397093318e-07j)
89,-0.9368683952642559,0.0,0.11617204367371954,-0.08881855140810209,24.27966717299154,3.005505969220637,12722.255449029808,(25444.510858758407+0j),(2.4537701845403252+0j),(3.930121401323795e-05+0j),(0.40753612799996997+0j),(1.0000000000002083+8.799539821309283e-07j),(1.0000000000002083-8.799539821309283e-07j)
90,-0.9368223189891334,0.0,0.11619192927849048,-0.0898120159004781,24.279462137950812,3.0053443186056388,12720.879162253272,(25441.755856806565+0j),(2.475163524353933+0j),(3.9305459504411616e-05+0j),(0.404013710672152+0j),(0.9999993794109937+0j),(1.000000620589195+0j)
91,-0.9367756480416042,0.0,0.11621182297196073,-0.09080531137754061,24.27925438657186,3.005181000948016,12719.487338079545,(25438.97463684933+0j),(2.4966345937271437+0j),(3.9309774849032626e-05+0j),(0.40053919084098777+0j),(1.0000000000007123+9.255175467152764e-07j),(1.0000000000007123-9.255175467152764e-07j)
