Index,Initial x,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.9733041099863412,-1.6726680100209026,1.8250855153187269,6.228668017782862,2091.3370485780674,(4157.052009212779+0j),(-32.900059298725495+0j),(0.8601542936645453+0.5100016482833247j),(0.8601542936645453-0.5100016482833247j),(0.000239081514345066+0j),(-0.030395081994268946+0j)
1,0.9733059122044614,-1.6718760763277456,1.827941048675219,6.229889226655501,443.25022756694415,(886.3899826331641+0j),(0.8822030916921917+0.4707830358819998j),(0.8822030916921917-0.4707830358819998j),(-32.892565430685615+0j),(0.0011280324411183274+0j),(-0.03040200686406006+0j)
2,0.9733075459882508,-1.671082091013684,1.8307828943976139,6.231105096141597,286.44603879941167,(572.8903320640429+0j),(0.893696796589436+0.44864261678604345j),(0.893696796589436-0.44864261678604345j),(-32.88438194454028+0j),(0.0017514739529042149+0j),(-0.030409572595442042+0j)
3,0.973309010597307,-1.6702860382681763,1.8336109974546035,6.232315547101017,193.7913411417002,(387.58010217158767+0j),(0.9080496179469391+0.41882207271315725j),(0.9080496179469391-0.41882207271315725j),(-32.87550831521335+0j),(0.0025808244393189955+0j),(-0.030417780628841887+0j)
4,0.9733103083743045,-1.669487947660442,1.83642550660762,6.2335206192110935,106.20268914166823,(212.3567523045428+0j),(0.9406905442296642+0.3392407544233376j),(0.9406905442296642-0.3392407544233376j),(-32.86595577477292+0j),(0.004708083072700014+0j),(-0.03042662160382185+0j)
5,0.9733114427191406,-1.668687864339599,1.8392266417707712,6.234720394845069,96.39267144937342,(192.7801556428456+0j),(0.9478138611287865+0.3187127176272152j),(0.9478138611287865-0.3187127176272152j),(-32.85573956601485+0j),(0.005188516674240474+0j),(-0.03043608249916911+0j)
6,0.9733124137917075,-1.667885786503247,1.8420144089683816,6.235914832288305,76.20068249663662,(152.38814781681157+0j),(0.9675445452349993+0.2524510877562714j),(0.9675445452349993-0.2524510877562714j),(-32.844862664814244+0j),(0.006561903553963523+0j),(-0.030446161709014388+0j)
7,0.9733132249874268,-1.6670817595444096,1.8447890299305802,6.237104016868468,76.2712474076976,(152.53593898332923+0j),(0.9674695115407543+0.25293509678655024j),(0.9674695115407543-0.25293509678655024j),(-32.83334029016707+0j),(0.0065570962990326815+0j),(-0.03045684633873327+0j)
8,0.9733138771182892,-1.6662757915899453,1.847550555336832,6.238287934485706,68.83677359119952,(137.6412071618749+0j),(0.9777019267376423+0.20966300650984368j),(0.9777019267376423-0.20966300650984368j),(-32.82117789886922+0j),(0.0072639427495779785+0j),(-0.03046813259051716+0j)
9,0.9733143722544426,-1.665467909166218,1.8502991204560932,6.239466621457336,63.30176338926536,(126.5757561032518+0j),(0.9865677073299521+0.16322174462204236j),(0.9865677073299521-0.16322174462204236j),(-32.8083857302278+0j),(0.007899166968612342+0j),(-0.030480012281807866+0j)
