,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.9880160395969086,-0.0028619687488902,-2.912869684538218,4.301877970488495,2.943449381108664,1.0000000000000069,(0.014182022562980325+0.9998994549979437j),(0.014182022562980325-0.9998994549979437j),(0.9999948180224199+0.0032495895477504225j),(0.9999948180224199-0.0032495895477504225j),(0.9999997998735497+0.00041129635241765193j),(0.9999997998735497-0.00041129635241765193j)
1,0.9880160403964546,-0.0028619488886196,-2.912879719079621,4.301877649720083,2.943449409747468,1.0005727368796409,(0.01427314101642324+0.9998981489946696j),(0.01427314101642324-0.9998981489946696j),(1.0344224309227885+0j),(1.0159488163905408+0j),(0.966724589116857+0j),(0.9843010445808424+0j)
2,0.9880160414477182,-0.0028619283182223,-2.912890092813402,4.301876464142566,2.943449515905474,1.0004116128183838,(0.014389621598128306+0.9998964996768591j),(0.014389621598128306-0.9998964996768591j),(0.9752816483834716+0j),(0.9717168830697601+0j),(1.0253454409402094+0j),(1.0291064740635545+0j)
3,0.9880160417639208,-0.0028619086641322,-2.9129000653509274,4.301877963130635,2.943449381425518,1.000015193142556,(0.014187877836078836+0.9998993838824368j),(0.014187877836078836-0.9998993838824368j),(0.9999765728222425+0.0069356142666138175j),(0.9999765728222425-0.0069356142666138175j),(1.0055272570838754+0j),(0.9945027965726758+0j)
4,0.988016042475227,-0.0028618888876061,-2.912910065384374,4.3018779680239545,2.943449380874565,1.0000382214363044,(0.014186435939912704+0.9998994303341159j),(0.014186435939912704-0.9998994303341159j),(0.9912949764159006+0j),(1.008781149879192+0j),(0.9972161418000076+0j),(1.0027932941860707+0j)
5,0.9880160431878672,-0.0028618691111448,-2.9129200653682124,4.301877967727994,2.9434493807891453,1.0000016655481176,(0.014180797107831697+0.9998993947217588j),(0.014180797107831697-0.9998993947217588j),(0.9999644540887827+0.008402067549162727j),(0.9999644540887827-0.008402067549162727j),(1.001826370967665+0j),(0.9981765356871458+0j)
6,0.9880160439014252,-0.0028618493347289,-2.9129300653492334,4.301877963842236,2.9434493810256885,1.2663744250492124,(2.0433584560425935+0j),(0.026108355530180444+0.9996591104529298j),(0.026108355530180444-0.9996591104529298j),(0.4893904313565945+0j),(0.9994827701989195+0.03214800022535159j),(0.9994827701989195-0.03214800022535159j)
7,0.988016044613414,-0.0028618295524595,-2.9129400685486733,4.301877966687429,2.943449380659162,1.0000000010212744,(0.014166050317028677+0.9998996628301524j),(0.014166050317028677-0.9998996628301524j),(1.0000129436524825+0.008031546833431288j),(1.0000129436524825-0.008031546833431288j),(0.9999243781280573+0.007841418214942096j),(0.9999243781280573-0.007841418214942096j)
8,0.9880160453248596,-0.0028618097768051,-2.9129500685313707,4.301877970621092,2.943449380195404,1.0000092511333456,(0.014182519241366591+0.9998994215659909j),(0.014182519241366591-0.9998994215659909j),(1.0043106872045344+0j),(0.9957344850697916+0j),(0.999985456869077+0.0013263427571106573j),(0.999985456869077-0.0013263427571106573j)
9,0.9880160460381676,-0.0028617900010312,-2.9129600685116865,4.301877967373599,2.943449380375581,1.266322581812892,(2.0432221127750805+0j),(0.026105486289232243+0.9996591824151327j),(0.026105486289232243-0.9996591824151327j),(0.4894233779097991+0j),(0.9994833919532519+0.03213372228068814j),(0.9994833919532519-0.03213372228068814j)
