Index,Initial x,Initial y,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
910,-0.2095698505978798,0.4297760593195159,-1.5333507529268786,6.292355104206454,2.0739575261074106,1.0,(0.4835562104268617+0.8753133103961993j),(0.4835562104268617-0.8753133103961993j),(0.9999999999968576+2.1905648765080486e-06j),(0.9999999999968576-2.1905648765080486e-06j),(0.9983134522223257+0.05805386388515145j),(0.9983134522223257-0.05805386388515145j)
911,-0.2100022006079587,0.4284028160239721,-1.535982343496666,6.292399908146407,2.0743246662375174,1.0,(0.48278226041961936+0.8757404233161329j),(0.48278226041961936-0.8757404233161329j),(0.9999999999977964+2.045699303821397e-06j),(0.9999999999977964-2.045699303821397e-06j),(0.9983100346780164+0.05811260329076255j),(0.9983100346780164-0.05811260329076255j)
912,-0.210427661396607,0.4270340849019249,-1.5386174151407634,6.2924441310288985,2.0746868350274412,1.0,(0.4820185630546675+0.8761610039635389j),(0.4820185630546675-0.8761610039635389j),(0.9999999999977076+2.0754822872515236e-06j),(0.9999999999977076-2.0754822872515236e-06j),(0.9983066592550058+0.05817056031324949j),(0.9983066592550058-0.05817056031324949j)
913,-0.2108462976096829,0.4256698663908926,-1.5412559273660884,6.292487775181651,2.07504405998094,1.0,(0.48126506975665734+0.876575115229151j),(0.48126506975665734-0.876575115229151j),(0.9999999999980658+1.916329564297875e-06j),(0.9999999999980658-1.916329564297875e-06j),(0.9983033258629275+0.058227738845581606j),(0.9983033258629275-0.058227738845581606j)
914,-0.2112581734887606,0.4243101604699361,-1.5438978401647352,6.292530842954941,2.075396368616839,1.0,(0.4805217317632331+0.876982819273992j),(0.4805217317632331-0.876982819273992j),(0.999999999997498+2.075488833841763e-06j),(0.999999999997498-2.075488833841763e-06j),(0.998300034408235+0.05828414278833231j),(0.998300034408235-0.05828414278833231j)
915,-0.2116633528672164,0.4229549666703859,-1.5465431140100687,6.292573336720715,2.07574378846308,1.0,(0.47978850004384044+0.8773841776735287j),(0.47978850004384044-0.8773841776735287j),(0.9999999999979083+2.2039355310050903e-06j),(0.9999999999979083-2.2039355310050903e-06j),(0.9982967847938061+0.05833977605717562j),(0.9982967847938061-0.05833977605717562j)
916,-0.2120618991665861,0.4216042840864211,-1.549191709852755,6.292615258871642,2.076086347050885,1.0,(0.47906532535790136+0.8777792513171758j),(0.47906532535790136-0.8777792513171758j),(0.9999999999975016+2.243124103382565e-06j),(0.9999999999975016-2.243124103382565e-06j),(0.9982935769193391+0.058394642576580454j),(0.9982935769193391-0.058394642576580454j)
917,-0.2124538753932461,0.4202581113854255,-1.5518435891166869,6.29265661182022,2.0764240719095106,1.0,(0.4783521583031691+0.8781681004471317j),(0.4783521583031691-0.8781681004471317j),(0.9999999999970368+2.4085357269936866e-06j),(0.9999999999970368-2.4085357269936866e-06j),(0.9982904106814978+0.058448746277550784j),(0.9982904106814978-0.058448746277550784j)
918,-0.2128393441351515,0.4189164468183411,-1.5544987136949595,6.292697397997975,2.0767569905604177,1.0,(0.4776489492314359+0.8785507847033917j),(0.4776489492314359-0.8785507847033917j),(0.9999999999979731+2.0622815181639252e-06j),(0.9999999999979731-2.0622815181639252e-06j),(0.9982872859735041+0.05850209110544544j),(0.9982872859735041-0.05850209110544544j)
919,-0.2132183675591044,0.4175792882296621,-1.5571570459456527,6.292737619854507,2.0770851305125606,1.0,(0.47695564844655713+0.8789273629962278j),(0.47695564844655713-0.8789273629962278j),(0.9999999999975857+2.2582401925791676e-06j),(0.9999999999975857-2.2582401925791676e-06j),(0.9982842026862677+0.058554681000705565j),(0.9982842026862677-0.058554681000705565j)
920,-0.2135910074080076,0.4162466330674546,-1.5598185486876912,6.292777279856692,2.077408519256985,1.0,(0.4762722059594778+0.8792978936931901j),(0.4762722059594778-0.8792978936931901j),(0.9999999999971179+2.0447557015501924e-06j),(0.9999999999971179-2.0447557015501924e-06j),(0.9982811607069779+0.058606519923805625j),(0.9982811607069779-0.058606519923805625j)
921,-0.2139573249984134,0.4149184783931314,-1.5624831851966108,6.292816380487965,2.077727184262209,1.0,(0.47559857177899717+0.8796624344179423j),(0.47559857177899717-0.8796624344179423j),(0.9999999999952056+2.4402341267142985e-06j),(0.9999999999952056-2.4402341267142985e-06j),(0.9982781599206858+0.0586576118284479j),(0.9982781599206858-0.0586576118284479j)
922,-0.2143173812183363,0.4135948208911226,-1.5651509192003088,6.292854924247298,2.078041152969155,1.0,(0.47493469561079094+0.8800210423095675j),(0.47493469561079094-0.8800210423095675j),(0.9999999999963838+2.095798534626808e-06j),(0.9999999999963838-2.095798534626808e-06j),(0.9982752002088758+0.058707960686581295j),(0.9982752002088758-0.058707960686581295j)
923,-0.2146712365252556,0.4122756568783239,-1.5678217148747262,6.292892913648647,2.0783504527869443,1.0,(0.4742805272357068+0.8803737737354959j),(0.4742805272357068-0.8803737737354959j),(0.9999999999963984+2.2094794051725367e-06j),(0.9999999999963984-2.2094794051725367e-06j),(0.9982722814512716+0.058757570457958264j),(0.9982722814512716-0.058757570457958264j)
924,-0.2150189509443009,0.4109609823134669,-1.5704955368395466,6.2929303512200185,2.078655111088222,1.0,(0.47363601622293794+0.8807206845204983j),(0.47363601622293794-0.8807206845204983j),(0.999999999995151+2.4516274629874276e-06j),(0.999999999995151-2.4516274629874276e-06j),(0.9982694035243936+0.05880644511529063j),(0.9982694035243936-0.05880644511529063j)
925,-0.2153605840666337,0.4096507928063013,-1.5731723501538497,6.292967239502825,2.0789551552049623,1.0,(0.4730011120155401+0.881061829862072j),(0.4730011120155401-0.881061829862072j),(0.9999999999961638+2.126997034523022e-06j),(0.9999999999961638-2.126997034523022e-06j),(0.9982665663020156+0.058854588636998675j),(0.9982665663020156-0.058854588636998675j)
926,-0.2156961950480424,0.4083450836266186,-1.575852120311739,6.293003581051172,2.079250612424412,1.0,(0.47237576410072124+0.8813972642823943j),(0.47237576410072124-0.8813972642823943j),(0.9999999999963334+2.33032012086139e-06j),(0.9999999999963334-2.33032012086139e-06j),(0.9982637696562443+0.058902004989270305j),(0.9982637696562443-0.058902004989270305j)
