Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig5
0,1.1494711936054902,-0.14747433785311637,-0.21852784975368514,12.757590707101828,3.093615303414329,956762248.2190962,(1913524496.4381924+0j),(5.982448049666267e-08+0j),(0.9999999974479137+9.183285967249081e-05j),(0.9999999974479137-9.183285967249081e-05j),(1.0000000117962675+0.0002960141343726239j),(1.0000000117962675-0.0002960141343726239j)
1,1.1495036077048564,-0.14743243591029132,-0.21860712264228405,12.757651018377157,3.093606260719664,957131786.2161653,(1914263572.4323306+0j),(2.5230820120506556e-07+0j),(1.0000000272501+0.0006201350949010917j),(1.0000000272501-0.0006201350949010917j),(1.0000001152391305+0j),(0.9999998911126512+0j)
2,1.1495359806363445,-0.14739173434275563,-0.2186925349175263,12.757651708145072,3.0935942239121013,957130519.7177172,(1914261039.4354343+0j),(-1.7928452611393197e-07+0j),(1.0005529269639024+0j),(0.9994471038402344+0j),(1.000000050274598+5.14553472105445e-07j),(1.000000050274598-5.14553472105445e-07j)
3,1.1495683443760785,-0.14735103388870496,-0.21877794990710292,12.757652875956918,3.0935821651059356,957128375.6562432,(1914256751.3124864+0j),(3.2895934227387555e-07+0j),(1.0006520775316154+0j),(0.9993478176172902+0j),(1.0000005312566782+0j),(0.9999995508098326+0j)
4,1.1496006987395346,-0.14731033478630942,-0.2188633671241873,12.757654521867128,3.0935700843660325,957125353.8512487,(1914250707.7024975+0j),(5.250281122996213e-08+0j),(1.0000000276176533+0.0005870813888379802j),(1.0000000276176533-0.0005870813888379802j),(0.9999993731584098+0j),(1.0000004864273908+0j)
5,1.1496330435428537,-0.1472696372727452,-0.21894878608089993,12.757656645940635,3.0935579817586425,957121454.1966207,(1914242908.3932414+0j),(-2.793586493627356e-07+0j),(1.0000000562807894+0.0007549343502396449j),(1.0000000562807894-0.0007549343502396449j),(1.00000001930889+2.2396078599768609e-07j),(1.00000001930889-2.2396078599768609e-07j)
6,1.1496653786023006,-0.14722894158529276,-0.21903420628913278,12.757659248231013,3.0935458573505232,957116676.2737896,(1914233352.5475793+0j),(5.972176620721047e-08+0j),(0.9992032170211333+0j),(1.0007967018915969+0j),(0.9999985786982677+0j),(1.000001382916059+0j)
7,1.1496977037342222,-0.14718824796143593,-0.21911962726068546,12.757662328778137,3.093533711208833,957111020.8565629,(1914222041.7131257+0j),(9.432059990178446e-08+0j),(1.0007364542007093+0j),(0.9992635682338852+0j),(1.000001531663531+0j),(0.9999984775649563+0j)
8,1.1497300187551411,-0.1471475566386866,-0.2192050485071779,12.757665887611427,3.0935215434012626,957104487.32214,(1914208974.64428+0j),(7.466014572942282e-08+0j),(1.0000000361301054+0.000571906993392014j),(1.0000000361301054-0.000571906993392014j),(1.000000007063834+4.499935283607832e-07j),(1.000000007063834-4.499935283607832e-07j)
9,1.1497623234819911,-0.1471068678540896,-0.21929046953965733,12.757669924759586,3.0935093539964313,957097075.7162812,(1914194151.4325624+0j),(-2.2279993999619743e-07+0j),(1.0000000186059443+0.0005341282550048146j),(1.0000000186059443-0.0005341282550048146j),(1.0000022053403304+0j),(0.9999977465055953+0j)
10,1.1497946177316227,-0.14706618184528059,-0.21937588986957213,12.757674440228634,3.093497143062974,957088786.0530803,(1914177572.1061606+0j),(-4.212377855261852e-07+0j),(0.9999999394105659+0.0006726928640472117j),(0.9999999394105659-0.0006726928640472117j),(0.9999972310650292+0j),(1.000002705183546+0j)
11,1.149826901321186,-0.1470254988496811,-0.21946130900812522,12.757679434017902,3.0934849106702034,957079618.3029268,(1914159236.6058536+0j),(3.274471524929625e-07+0j),(1.000000030082914+0.0008132584218470673j),(1.000000030082914-0.0008132584218470673j),(0.9999985349481161+0j),(1.0000014836016016+0j)
12,1.1498591740681479,-0.14698481910448363,-0.21954672646628096,12.757684906120392,3.093472656888113,957069572.6354102,(1914139145.2708204+0j),(-4.264803980151114e-08+0j),(1.0010358271510944+0j),(0.9989641091644741+0j),(1.0000027339010484+0j),(0.9999972676389188+0j)
13,1.1498914357900736,-0.1469441428471217,-0.2196321417552794,12.757690856512218,3.0934603817869397,957058649.1168156,(1914117298.2336311+0j),(-1.992098307699364e-07+0j),(0.9991582588463003+0j),(1.0008417274827555+0j),(0.9999960384455532+0j),(1.0000039932544555+0j)
