Index,Initial x,Initial y,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.4878494143903759,0.8660254037844386,0.0,0.0,0.01,6.283185307179586,2.9878970511210325,1.0,(-0.3083902429158436+0.9512599319188251j),(-0.3083902429158436-0.9512599319188251j),(0.9587539643248532+0.28423728800300097j),(0.9587539643248532-0.28423728800300097j),(0.9999996473812245+0.0008397840960810215j),(0.9999996473812245-0.0008397840960810215j)
1,0.4879251034514917,0.8659806122203174,0.0002687733341263,-0.0001514368110636,0.024996568721113,6.2831940848470005,2.9873721999568117,1.0,(-0.2978706339262023+0.9546062462839643j),(-0.2978706339262023-0.9546062462839643j),(0.9594656734202357+0.28182551610534556j),(0.9594656734202357-0.28182551610534556j),(0.9999999999999507+5.839206764294981e-10j),(0.9999999999999507-5.839206764294981e-10j)
2,0.4880430957524002,0.8659107700223094,0.0006879597345576,-0.0003877472965343,0.0399882195019201,6.283207776710512,2.986397844493433,1.0,(-0.2972163689394499+0.9548101539229614j),(-0.2972163689394499-0.9548101539229614j),(0.9595461870793074+0.28155126506813327j),(0.9595461870793074-0.28155126506813327j),(1.0000000002127567+0j),(0.9999999997871446+0j)
3,0.4882153545504167,0.865808770733722,0.0013003611226137,-0.0007332546182834,0.0549703893117585,6.2832277838417365,2.9849747748254902,1.0,(-0.296261033204584+0.9551070098184788j),(-0.296261033204584-0.9551070098184788j),(0.959663607395068+0.28115077919387876j),(0.959663607395068-0.28115077919387876j),(1.0000000012907249+0j),(0.9999999987091717+0j)
4,0.4884416626821264,0.8656747031255105,0.0021056843034578,-0.0011881013060585,0.0699395311180525,6.28325410144245,2.98310411480199,1.0,(-0.29500564635507653+0.9554955094706054j),(-0.29500564635507653-0.9554955094706054j),(0.959817649225411+0.2806244469665609j),(0.959817649225411-0.2806244469665609j),(1.0000000003630936+0j),(0.9999999996367915+0j)
5,0.4887217344455927,0.8655086843736568,0.0031035445638949,-0.0017524737709389,0.0848921058180487,6.283286723146843,2.9807873391451705,1.0,(-0.2934515498741198+0.9559739472791654j),(-0.2934515498741198-0.9559739472791654j),(0.9600079393385692+0.2799727779745561j),(0.9600079393385692-0.2799727779745561j),(1.0000000016164996+0j),(0.999999998383367+0j)
6,0.4890552156364193,0.8653108603604446,0.004293466546923,-0.002426601382687,0.0998245843445069,6.283325640978919,2.978026270178398,1.0,(-0.29160040690999617+0.9565402253381201j),(-0.29160040690999617-0.9565402253381201j),(0.9602340179967648+0.27919640162741294j),(0.9602340179967648-0.27919640162741294j),(1.0000000012697805+0j),(0.999999998730073+0j)
7,0.4894416835950904,0.8650814060451391,0.0056748853338281,-0.0032107553269236,0.1147334497306914,6.283370845299933,2.974823073802267,1.0,(-0.289454201959113+0.9571918642404901j),(-0.289454201959113-0.9571918642404901j),(0.9604953408991742+0.27829606556830583j),(0.9604953408991742-0.27829606556830583j),(1.0000000015434287+0j),(0.9999999984564063+0j)
8,0.4898806472680332,0.8648205259017363,0.0072471477322471,-0.0041052472429568,0.1296151991263084,6.283422324745863,2.971180254740211,1.0,(-0.2870152403755263+0.9579260158238528j),(-0.2870152403755263-0.9579260158238528j),(0.960791281470686+0.2772726337916158j),(0.960791281470686-0.2772726337916158j),(0.9999999999999085+9.159883880705891e-10j),(0.9999999999999085-9.159883880705891e-10j)
9,0.4903715472842694,0.8645284544215917,0.0090095137683734,-0.0051104276432942,0.1444663457562639,6.283480066155361,2.967100651078892,1.0,(-0.2842861476413595+0.9587394777828003j),(-0.2842861476413595-0.9587394777828003j),(0.9611211334814553+0.2761270844650616j),(0.9611211334814553-0.2761270844650616j),(1.0000000036959056+0j),(0.9999999963038952+0j)
