Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
19,-2.1739683150134783,0.0,0.0,0.0,1.804217389892856,0.0,36.79148118471245,2.392529961346646,1952.1372324974084,(3904.272485407895+0j),(1.0003651986792952+0j),(0.9996349345353401+0j),(0.0002561295509750169+0j),(-2.694200699689514+0j),(-0.3711675971703487+0j)
20,-2.172168970619858,0.0,0.0,0.0,1.8025591716414968,0.0,36.78800977463354,2.391456267399124,1724.0988314220936,(3448.19636891982+0j),(1.000259092494312+0j),(0.9997409740030794+0j),(0.00029000660109461233+0j),(-2.731073589940447+0j),(-0.36615637296696524+0j)
21,-2.170373790541747,0.0,0.0,0.0,1.8008730744721202,0.0,36.784583753721414,2.3905015370785576,1511.702638936867,(3023.404947120819+0j),(1.0002215658700495+0j),(0.9997784819360821+0j),(0.000330753107286675+0j),(-2.763242184952751+0j),(-0.36189372232511086+0j)
22,-2.168582829442692,0.0,0.0,0.0,1.799161077474717,0.0,36.781200545408254,2.389658530144221,1314.0278040511555,(2628.0541113687195+0j),(0.999999997407574+7.069420486096769e-05j),(0.999999997407574-7.069420486096769e-05j),(0.0003805095073728573+0j),(-2.790972861320219+0j),(-0.35829800205415646+0j)
23,-2.166796123236288,0.0,0.0,0.0,1.7974249710407735,0.0,36.777857723018705,2.3889206334915865,1130.2022079052222,(2260.403973411647+0j),(0.9999999877191912+0.00015448819085659042j),(0.9999999877191912-0.00015448819085659042j),(0.00044239882989765514+0j),(-2.814507898943709+0j),(-0.3553018985569583+0j)
24,-2.165013692442752,0.0,0.0,0.0,1.7956663802823922,0.0,36.77455299972573,2.38828178821495,959.4075212884267,(1918.8145214217398+0j),(0.99999999001308+0.0001375686506565692j),(0.99999999001308-0.0001375686506565692j),(0.0005211556105008465+0j),(-2.8340691579816264+0j),(-0.35284954045036093+0j)
25,-2.163235544946917,0.0,0.0,0.0,1.793886784924224,0.0,36.77128421900856,2.3877364272094597,800.8704426908705,(1601.7399824351833+0j),(0.9999999897425049+0.0001446728856527627j),(0.9999999897425049-0.0001446728856527627j),(0.0006243209491017759+0j),(-2.8498609529618637+0j),(-0.35089431256607717+0j)
26,-2.1614616782761398,0.0,0.0,0.0,1.7920875362904682,0.0,36.768049345664366,2.3872794215137128,653.8621831113312,(1307.7236015350795+0j),(1.0000295508791581+0j),(0.9999704479133887+0j),(0.0007646878381010968+0j),(-2.862072337141294+0j),(-0.34939717875796805+0j)
27,-2.159692081486841,0.0,0.0,0.0,1.790269871884706,0.0,36.764846457398235,2.3869060339288097,517.6970052575062,(1035.3928438607204+0j),(1.0002263981076094+0j),(0.9997736523671997+0j),(0.0009658168027306713+0j),(-2.8708789445090863+0j),(-0.34832538025020093+0j)
28,-2.157926736734058,0.0,0.0,0.0,1.788434927958119,0.0,36.76167373699448,2.3866118787640613,391.72813774416755,(783.454613958286+0j),(1.0002136178284267+0j),(0.9997864284264679+0j),(0.0012763974971893117+0j),(-2.8764444904739186+0j),(-0.3476514159442327+0j)
29,-2.1561656205810675,0.0,0.0,0.0,1.7865837503983484,0.0,36.758529465035586,2.386392886722127,275.3462027357918,(550.690540975831+0j),(1.0001784998956733+0j),(0.9998215328071913+0j),(0.001815901740360449+0j),(-2.8789220085722294+0j),(-0.34735223705972923+0j)
