Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.028902110849756,0.0,0.0,0.0,1.4633153366862641,8.403773560696022e-22,20.92940064782345,2.9628515586579143,1170.4636093608456,(-2340.9267915404553+0j),(-0.00042718125905810646+0j),(1.0000310101183283+0j),(0.9999689904914695+0j),(0.9999999860352151+0.0001671177014756059j),(0.9999999860352151-0.0001671177014756059j)
1,-2.0289021645519116,0.0,0.0,0.0,1.4633154198069667,9.998138494119356e-05,20.929402576598477,2.962851497081463,1170.4641345313532,(-2340.9277251219155+0j),(-0.000427181044246195+0j),(1.0040995420905416+0j),(0.995917195003545+0j),(0.9999993416077064+0.0011475088922184354j),(0.9999993416077064-0.0011475088922184354j)
2,-2.028902318117341,0.0,0.0,0.0,1.4633156584701543,0.0001998270216661424,20.929408124206777,2.962851316801293,1170.463797360995,(-2340.9271675408227+0j),(-0.00042718119204949155+0j),(1.0038471533756288+0j),(0.9961675897083847+0j),(0.9999969300208693+0.0024778761204821242j),(0.9999969300208693-0.0024778761204821242j)
3,-2.028902573141568,0.0,0.0,0.0,1.463316054813791,0.00029940065870882865,20.92941733701039,2.9628510174182305,1170.4633317182108,(-2340.9262362550844+0j),(-0.0004271813423847745+0j),(1.0036017279494163+0j),(0.9964111976019913+0j),(0.999992132460519+0.003966723584348299j),(0.999992132460519-0.003966723584348299j)
4,-2.028902928252237,0.0,0.0,0.0,1.46331660670594,0.0003985722594260855,20.929430165481673,2.962850600539203,1170.4626947103907,(-2340.924938035473+0j),(-0.00042718156973449076+0j),(1.0034357966817735+0j),(0.996575967747428+0j),(0.9999847583061643+0.005521148221707403j),(0.9999847583061643-0.005521148221707403j)
5,-2.0289033815981408,0.0,0.0,0.0,1.4633173112690177,0.0004972185412158221,20.92944654277178,2.9628500683397654,1170.4618534398421,(-2340.9232796978076+0j),(-0.00042718190154588054+0j),(1.0033292243559189+0j),(0.9966818231023044+0j),(0.9999749564308054+0.007077186933646859j),(0.9999749564308054-0.007077186933646859j)
6,-2.0289039308883874,0.0,0.0,0.0,1.4633181649419615,0.0005952247497193922,20.929466386128542,2.9628494235120075,1170.4608483627244,(-2340.921269543205+0j),(-0.00042718224692239097+0j),(1.0032550507537052+0j),(0.9967555101450639+0j),(0.9999628861921843+0.008615455992555312j),(0.9999628861921843-0.008615455992555312j)
7,-2.0289045734526825,0.0,0.0,0.0,1.4633191635739347,0.0006924860171508672,20.929489599090335,2.9628486691938845,1170.4596723290779,(-2340.918917475483+0j),(-0.00042718270619620803+0j),(1.0031976231077364+0j),(0.9968125688712826+0j),(0.9999486671052928+0.010132277050522743j),(0.9999486671052928-0.010132277050522743j)
8,-2.0289053063057256,0.0,0.0,0.0,1.4633203025245567,0.0007889083149788092,20.92951607382887,2.9628478088930925,1170.4583307357382,(-2340.9162342883137+0j),(-0.0004271832102965901+0j),(1.0031485918677745+0j),(0.9968612913555136+0j),(0.999932396245329+0.011627691975230248j),(0.999932396245329-0.011627691975230248j)
9,-2.028906126213049,0.0,0.0,0.0,1.4633215767664676,0.0008844090020308743,20.929545693553596,2.962846846408934,1170.4569035701127,(-2340.9132317935855+0j),(-0.00042718368332730216+0j),(1.0031042055119304+0j),(0.9969054006949699+0j),(0.999914162886471+0.013102163814573787j),(0.999914162886471-0.013102163814573787j)
10,-2.0289070297587126,0.0,0.0,0.0,1.4633229809898165,0.0009789169961016077,20.92957833487334,2.9628457857553854,1170.4551747827409,(-2340.9099223811672+0j),(-0.00042718437291495537+0j),(1.0030619320197822+0j),(0.9969474141479293+0j),(0.9998940531469276+0.01455616702353937j),(0.9998940531469276-0.01455616702353937j)
11,-2.0289126822258097,0.0,0.0,0.0,1.4633317655519444,0.0014351979798338617,20.929782537089217,2.9628391507746117,1170.4443883401648,(-2340.8883486310906+0j),(-0.00042718825108296096+0j),(1.0000247229096024+0j),(0.9999752778249978+0j),(0.999765179590564+0.021669924076585082j),(0.999765179590564-0.021669924076585082j)
12,-2.028919898335434,0.0,0.0,0.0,1.4633429799871884,0.0018616477842567428,20.930043233710812,2.962830681125894,1170.431371559663,(-2340.861978754276+0j),(-0.0004271930019960533+0j),(0.9996050558331222+0.028102183288186092j),(0.9996050558331222-0.028102183288186092j),(1.000000000225878+1.3224457586722127e-05j),(1.000000000225878-1.3224457586722127e-05j)
13,-2.028928298006902,0.0,0.0,0.0,1.4633560334915099,0.002258723302571054,20.930346697191812,2.962820823431208,1170.4158725691777,(-2340.831193799882+0j),(-0.00042719865901322566+0j),(0.9994188789202321+0.03408672667367434j),(0.9994188789202321-0.03408672667367434j),(1.0000000004466647+8.431494978101068e-06j),(1.0000000004466647-8.431494978101068e-06j)
14,-2.028937589261867,0.0,0.0,0.0,1.4633704722039593,0.0026288865012948468,20.93068238216686,2.9628099207910323,1170.3987277500432,(-2340.7970282951696+0j),(-0.0004272049703948217+0j),(0.9992132026281936+0.03966075369141032j),(0.9992132026281936-0.03966075369141032j),(1.000027277187777+0j),(0.9999727232185037+0j)
