Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig5
0,0.8302609848693967,-0.11570649648061475,0.23092964248508313,11.148261558427281,3.0971674467673687,9554911774.797499,(19109823549.594997+0j),(4.276751408720211e-06+0j),(1.000000344616083+0.00025452726984591894j),(1.000000344616083-0.00025452726984591894j),(0.9999885906949495+0.0047615328834631435j),(0.9999885906949495-0.0047615328834631435j)
1,0.8302342467196229,-0.1156199657501187,0.23096750795933133,11.148299700786225,3.0972089385704917,9613279307.036352,(19226558614.072704+0j),(3.9661814746893905e-06+0j),(0.9999987692640199+5.9041852000551354e-05j),(0.9999987692640199-5.9041852000551354e-05j),(1.0000007344699968+3.86480982934593e-06j),(1.0000007344699968-3.86480982934593e-06j)
2,0.8302139748340264,-0.11557943057143058,0.23105664577445809,11.148300965471979,3.097199517314739,9613261793.184898,(19226523586.369797+0j),(-9.287255402176743e-07+0j),(1.0000003393269896+0.00027636778130871805j),(1.0000003393269896-0.00027636778130871805j),(1.0000021856040266+0j),(0.9999978696128979+0j)
3,0.8301937092950484,-0.11553890686135244,0.231145786026797,11.148303112343557,3.09719006743456,9613232093.444735,(19226464186.88947+0j),(-2.7412540801946645e-06+0j),(0.9999992827075139+0.0001557155167864208j),(0.9999992827075139-0.0001557155167864208j),(1.0000028304229613+0j),(0.99999765301795+0j)
4,0.8301734504918786,-0.11549839540733897,0.2312349269795966,11.148306141219138,3.0971805891161037,9613190126.84866,(19226380253.69732+0j),(1.213639906719244e-06+0j),(1.0000009293549352+0.00013068083475059128j),(1.0000009293549352-0.00013068083475059128j),(1.000013016053544+0j),(0.999987118729218+0j)
5,0.8301531988129466,-0.11545789699539726,0.2313240668969981,11.148310051848899,3.0971710825476793,9613135968.588062,(19226271937.176125+0j),(2.5843357055348775e-07+0j),(0.9999999516093276+0.00029572658988845206j),(0.9999999516093276-0.00029572658988845206j),(1.0000092004291798+0j),(0.9999903281777628+0j)
6,0.8301329546458416,-0.11541741240997594,0.23141320404451424,11.148314843914916,3.097161547919644,9613069608.256935,(19226139216.51387+0j),(-4.3544701338461105e-07+0j),(0.9998059498425238+0j),(1.0001936459432077+0j),(0.9999924110122494+0j),(1.0000078958122112+0j)
7,0.8301127183771659,-0.11537694243352269,0.2315023366893347,11.148320517031614,3.097151985424561,9612991049.001335,(19225982098.00267+0j),(4.3027142190959683e-07+0j),(1.0002548300807745+0j),(0.9997451295040336+0j),(1.0000089272085655+0j),(0.9999910416340739+0j)
8,0.8300924903925093,-0.11533648784663494,0.2315914631009345,11.148327070745621,3.097142395256854,9612900296.838837,(19225800593.677673+0j),(2.5538961481969587e-06+0j),(0.9999995010182827+0.0003059727388189488j),(0.9999995010182827-0.0003059727388189488j),(1.000014211114081+0j),(0.999985669228808+0j)
9,0.8300722710763234,-0.11529604942772433,0.23168058155143112,11.14833450453606,3.09713277761288,9612797359.22068,(19225594718.44136+0j),(1.5597829493649397e-06+0j),(1.0000958231257033+0j),(0.9999047142208163+0j),(0.9999999672724559+2.037765595349036e-06j),(0.9999999672724559-2.037765595349036e-06j)
10,0.8300520608118074,-0.11525562795272414,0.23176969031596037,11.148342817814852,3.0971231326909616,9612682244.799793,(19225364489.599586+0j),(-8.112797395359676e-07+0j),(1.000240927812254+0j),(0.9997601619759893+0j),(0.9999998583437166+2.590587416910846e-05j),(0.9999998583437166-2.590587416910846e-05j)
11,0.8300318599808618,-0.11521522419513751,0.23185878767322438,11.148352009926809,3.0971134606911335,9612554962.972326,(19225109925.944653+0j),(-1.700448895919182e-06+0j),(0.9999994947374069+0.00018108483051376692j),(0.9999994947374069-0.00018108483051376692j),(1.0000256848391271+0j),(0.9999744770605077+0j)
12,0.8300116689639636,-0.11517483892568689,0.23194787190583202,11.148362080149989,3.0971037618152266,9612415524.34911,(19224831048.69822+0j),(1.9030284354743945e-06+0j),(0.9998099548608591+0j),(1.0001886396841793+0j),(1.0000000137691627+1.5673840316782233e-05j),(1.0000000137691627-1.5673840316782233e-05j)
13,0.8299914881400775,-0.1151344729121493,0.2320369413007283,11.148373027696046,3.0970940362667942,9612263940.543674,(19224527881.08735+0j),(8.841243919982642e-08+0j),(1.0002062517142456+0j),(0.9997941423086921+0j),(1.0000381785354502+0j),(0.999961665076873+0j)
14,0.8299713178865704,-0.1150941269192025,0.23212599414962815,11.148384851710494,3.097084284251034,9612100223.956692,(19224200447.913383+0j),(-1.146780638376066e-06+0j),(1.000000407081958+0.0001751269817342961j),(1.000000407081958-0.0001751269817342961j),(0.9999685405049867+0j),(1.0000319459965472+0j)
15,0.8299511585791172,-0.11505380170821886,0.23221502874941743,11.148397551273083,3.0970745059747538,9611924388.082634,(19223848776.165268+0j),(1.6740596528520238e-06+0j),(1.0000918283659224+0j),(0.9999098820465087+0j),(0.999999975546422+8.278613070529646e-06j),(0.999999975546422-8.278613070529646e-06j)
16,0.8299310105916106,-0.11501349803707836,0.2323040434025589,11.148411125398194,3.0970647016463184,9611736447.413294,(19223472894.826588+0j),(-2.2233770979194157e-06+0j),(1.0000921826973623+0j),(0.9999089628465111+0j),(0.999999619681751+0.00010680820120802069j),(0.999999619681751-0.00010680820120802069j)
17,0.8299108742960734,-0.11497321665999978,0.23239303641750042,11.148425573035276,3.09705487147559,9611536417.241943,(19223072834.483887+0j),(-6.58419544572333e-07+0j),(1.0000589433740181+7.7928861107911e-05j),(1.0000589433740181-7.7928861107911e-05j),(0.999942352170254+7.928112556127517e-05j),(0.999942352170254-7.928112556127517e-05j)
