Index,Initial x,Initial y,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
1044,0.48784941439037594,0.5868307602809408,-0.3996768152789213,0.189316763443407,26.116764549884866,2.9809729060528625,15.34809937357097,(30.663586775988485+0j),(1.0000009874609486+0j),(0.9999990125419381+0j),(0.03261197091186946+0j),(0.45868743233281656+0.8885976814172449j),(0.45868743233281656-0.8885976814172449j)
1045,0.48784941439037594,0.5859428992295935,-0.40117336480680954,0.19010127465127002,26.12138586835786,2.9807108073799133,15.450241235508622,(30.868086553042815+0j),(0.9999999999992426+1.479018437940283e-06j),(0.9999999999992426-1.479018437940283e-06j),(0.03239591797467765+0j),(0.4544012624643824+0.8907971108344457j),(0.4544012624643824-0.8907971108344457j)
1046,0.48784941439037594,0.5850329096611604,-0.4027075222832267,0.19090517835524723,26.12598717454824,2.980440333722792,15.555919741609626,(31.079664103309227+0j),(1.000001443621199+0j),(0.9999985563816826+0j),(0.03217537991023995+0j),(0.45011333499553813+0.8929714360825948j),(0.45011333499553813-0.8929714360825948j)
1047,0.48784941439037594,0.5840995573839208,-0.4042814470223567,0.191729465306038,26.130566712239414,2.9801609639675553,15.665380045876748,(31.298809995243374+0j),(1.000001532279076+0j),(0.9999984677227343+0j),(0.0319500965104844+0j),(0.44582481040206234+0.8951202368565782j),(0.44582481040206234-0.8951202368565782j)
1048,0.48784941439037594,0.5831415058664484,-0.4058974809234332,0.19257520383105944,26.135122510530355,2.9798721296764565,15.778890006198248,(31.52606022190266+0j),(1.0000009140580568+0j),(0.9999990859454698+0j),(0.03171978968941181+0j),(0.44153699869758894+0.8972430433173386j),(0.44153699869758894-0.8972430433173386j)
1049,0.48784941439037594,0.5821573060227546,-0.40755816716038235,0.19344354698609617,26.139652350710225,2.979573209758628,15.896742784700567,(31.762001406876593+0j),(1.0000009525582714+0j),(0.9999990474437562+0j),(0.03148416207075695+0j),(0.4372513848272581+0.8993393277661678j),(0.4372513848272581-0.8993393277661678j)
1050,0.48784941439037594,0.5811453850420786,-0.40926627072756516,0.19433574023803812,26.14415372709238,2.97926352449911,16.01925977650785,(32.00727665743761+0j),(1.0000018692344734+0j),(0.9999981307674947+0j),(0.031242895504679992+0j),(0.4329696590804012+0.9014084946993102j),(0.4329696590804012-0.9014084946993102j)
1051,0.48784941439037594,0.5801040342704538,-0.4110248008735214,0.19525312961630578,26.148623800584488,2.9789423288902808,16.146793888871603,(32.26259212816777+0j),(1.0000004475695203+0j),(0.9999995524302643+0j),(0.03099564957546731+0j),(0.4286937536238181+0.9034498688938024j),(0.4286937536238181-0.9034498688938024j)
1052,0.48784941439037594,0.5790313962120638,-0.4128370353590809,0.19619717020784003,26.153059343519303,2.978608805220279,16.279733206074376,(32.52872435127473+0j),(1.0000000000003015+8.941450918026973e-07j),(1.0000000000003015-8.941450918026973e-07j),(0.030742060130555242+0j),(0.4244258865146068+0.9054626810954958j),(0.4244258865146068-0.9054626810954958j)
1053,0.48784941439037594,0.5779254508154498,-0.4147065463202793,0.1971694347747896,26.15745667397738,2.9782620548949317,16.418505055491373,(32.806528372517064+0j),(1.000001203804239+0j),(0.9999987961964237+0j),(0.030481737922052027+0j),(0.42016861485100127+0.9074460507901035j),(0.42016861485100127-0.9074460507901035j)
1054,0.48784941439037594,0.5767840013588581,-0.4166372272722904,0.19817162213281503,26.16181157750088,2.9779010895091202,16.563580483043943,(33.09694669861766+0j),(1.0000015836926561+0j),(0.9999984163082318+0j),(0.030214267470949283+0j),(0.4159248990904507+0.9093989654254852j),(0.4159248990904507-0.9093989654254852j)
1055,0.48784941439037594,0.5756046604750275,-0.4186333204157411,0.199205564720253,26.166119213739965,2.977524821249987,16.715479105882277,(33.40101900502198+0j),(1.000000881825568+0j),(0.9999991181753428+0j),(0.029939206340908946+0j),(0.4116981809773056+0.9113202553331121j),(0.4116981809773056-0.9113202553331121j)
1056,0.48784941439037594,0.5743848371921146,-0.4206994428421967,0.2002732344877091,26.170374005220758,2.9771320528219607,16.874774271083698,(33.7198924570754+0j),(1.0000006234336538+0j),(0.9999993765674113+0j),(0.029656085092212032+0j),(0.40749247799410004+0.9132085634610423j),(0.40749247799410004-0.9132085634610423j)
1057,0.48784941439037594,0.573121726357958,-0.42284060940456547,0.20137674580939058,26.174569505135636,2.976721467251086,17.042098378371726,(34.05483234763243+0j),(1.0000011116848648+0j),(0.9999988883157404+0j),(0.029364408250985494+0j),(0.4033124977147183+0.91506230890987j),(0.4033124977147183-0.91506230890987j)
1058,0.48784941439037594,0.5718123025305513,-0.42506224879491344,0.20251835350601174,26.178698240962312,2.9762916181848844,17.218148087574782,(34.4072325171733+0j),(1.0000015394900637+0j),(0.999998460511783+0j),(0.029063656877051473+0j),(0.39916377584641166+0.9168796431660843j),(0.39916377584641166-0.9168796431660843j)
1059,0.48784941439037594,0.5704533214156942,-0.4273702076504763,0.203700443236741,26.18275153099869,2.975840921685281,17.403688981642112,(34.778624669860676+0j),(1.000001786201665+0j),(0.9999982138006376+0j),(0.02875329342372564+0j),(0.3950528419262296+0.918658397929465j),(0.3950528419262296-0.918658397929465j)
1060,0.48784941439037594,0.5690413333256135,-0.42977073508643265,0.20492551038083823,26.186719271937204,2.975367651071415,17.59955897297025,(35.17068517600737+0j),(1.0000019443893253+0j),(0.999998055615826+0j),(0.028432769934217728+0j),(0.3909874163193457+0.9203960236116961j),(0.3909874163193457-0.9203960236116961j)
1061,0.48784941439037594,0.5675727149750589,-0.4322704368160922,0.2061961220682878,26.19058969792705,2.974869937152883,17.806669374721928,(35.58523720851157+0j),(1.0000026731630125+0j),(0.9999973268443111+0j),(0.028101540932598267+0j),(0.3869766408904481+0.9220895181084348j),(0.3869766408904481-0.9220895181084348j)
1062,0.48784941439037594,0.5660437282544716,-0.43487618388631055,0.2075148552414014,26.19434911605123,2.9743457772500177,18.026002064423505,(36.02424504607592+0j),(1.0000030806610214+0j),(0.999996919347603+0j),(0.027759082771914186+0j),(0.3830313427188908+0.923735346565921j),(0.3830313427188908-0.923735346565921j)
