Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
10,-1.080118115836234,-0.4097030688002426,0.0,-0.6868305663666161,1.864730893626428,-0.6429820634255534,12.58651087697131,-1.2891207570971464,1.002111411932823,(1.0671289628402203+0j),(0.9370938610265037+0j),(0.9981818912336662+0.06027364276646418j),(0.9981818912336662-0.06027364276646418j),(1.0000000000001623+4.3607081400577085e-08j),(1.0000000000001623-4.3607081400577085e-08j)
11,-1.0827615690347578,-0.403294720309642,0.0,-0.6761054218800173,1.8689809086705933,-0.6426190353707937,12.586511679262548,-1.2896971167523397,1.002163297364559,(1.0679757170481219+0j),(0.9363508776822306+0j),(0.9982868464704946+0.05850959035323156j),(0.9982868464704946-0.05850959035323156j),(1.0000000000001432+2.9503316248960908e-08j),(1.0000000000001432-2.9503316248960908e-08j)
12,-1.085240233218322,-0.3971766475693941,0.0,-0.6658648740624074,1.8729659943111665,-0.6422795584428006,12.586512406092918,-1.290235421365879,1.0022144174876109,(1.0688007420597871+0j),(0.935628092916417+0j),(0.998382335172564+0.05685695045616723j),(0.998382335172564-0.05685695045616723j),(1.0000000000001759+2.853849213066217e-08j),(1.0000000000001759-2.853849213066217e-08j)
13,-1.0875654929976966,-0.3913366182597411,0.0,-0.6560886652716357,1.8767044488595177,-0.6419618978483443,12.586513065718671,-1.2907385521211938,1.0022646072742132,(1.0696021376302456+0j),(0.9349270769175625+0j),(0.9984692826048573+0.05530905617302911j),(0.9984692826048573-0.05530905617302911j),(1.0000000000000369+1.6127033801880308e-08j),(1.0000000000000369-1.6127033801880308e-08j)
14,-1.0906739258819345,-0.3833695816317629,0.0,-0.6427502679263354,1.881702059191232,-0.6415384585885499,12.58651391418168,-1.2914083521894488,1.0023351638311582,(1.0707148439447318+0j),(0.9339554837181268+0j),(0.9985814539862675+0.053245466987339875j),(0.9985814539862675-0.053245466987339875j),(1.0000000215686575+0j),(0.9999999784315374+0j)
15,-1.093574703375372,-0.3757602190169529,0.0,-0.6300090795508618,1.8863658071063083,-0.6411445520432327,12.586514671852155,-1.2920305474483755,1.002404655938097,(1.0717955360764448+0j),(0.9330137758002068+0j),(0.9986818685277294+0.05132762877014816j),(0.9986818685277294-0.05132762877014816j),(0.9999999999998685+1.862164293126242e-08j),(0.9999999999998685-1.862164293126242e-08j)
16,-1.0962831121080023,-0.3684939092929372,0.0,-0.6178409210229137,1.89072026506516,-0.6407778474147107,12.586515349807176,-1.2926090073484326,1.0024727713159385,(1.0728407841474663+0j),(0.9321047584847167+0j),(0.9987718599071533+0.049545654261514284j),(0.9987718599071533-0.049545654261514284j),(1.0000000373540199+0j),(0.999999962646457+0j)
17,-1.0988132312677898,-0.3615564516082875,0.0,-0.6062222693244675,1.8947880662178505,-0.6404362193631641,12.5865159576327,-1.2931472450682024,1.0025392482965336,(1.0738480442124558+0j),(0.9312304523815043+0j),(0.9988526198913248+0.04788991265431867j),(0.9988526198913248-0.04788991265431867j),(1.000000033605601+0j),(0.9999999663951071+0j)
18,-1.1011780312076265,-0.3549340777572615,0.0,-0.5951302858287569,1.8985900623795529,-0.6401177280410967,12.586516503640594,-1.2936484543331446,1.0026038751174704,(1.074815580543388+0j),(0.9303921696912169+0j),(0.9989252081136064+0.046351144471686805j),(0.9989252081136064-0.046351144471686805j),(1.0000000000002338+3.6547042674770033e-08j),(1.0000000000002338-3.6547042674770033e-08j)
19,-1.1033894640805175,-0.3486134601030194,0.0,-0.5845428358741906,1.9021454693267497,-0.6398206012626899,12.586516995051753,-1.2941155419617427,1.0026664872593634,(1.0757423702358304+0j),(0.929590604281249+0j),(0.998990562799402+0.04492054582745418j),(0.998990562799402-0.04492054582745418j),(1.0000000194025758+0j),(0.9999999805977487+0j)
20,-1.1054585470948075,-0.3425817157245119,0.0,-0.5744385009718456,1.90547200034205,-0.6395432185562837,12.586517438151066,-1.2945511566978336,1.0027269634375655,(1.0766279999971304+0j),(0.9288259268770359+0j),(0.9990495118897301+0.043589824428553636j),(0.9990495118897301-0.043589824428553636j),(1.0000000000000426+3.834511899571387e-08j),(1.0000000000000426-3.834511899571387e-08j)
21,-1.1073954389653793,-0.3368264073691264,0.0,-0.5647965848178722,1.9085859888944008,-0.6392840968709353,12.586517838419349,-1.2949577148194127,1.0027852209415515,(1.0774725648405719+0j),(0.9280978770418218+0j),(0.9991027842062867+0.04235122892578122j),(0.9991027842062867-0.04235122892578122j),(1.000000000000002+2.6757528092807467e-08j),(1.000000000000002-2.6757528092807467e-08j)
22,-1.1099781022373023,-0.3289786152680022,0.0,-0.5516481208000593,1.912738175240699,-0.6389393906314607,12.58651835043622,-1.2954979881162423,1.002865344075655,(1.0786208610225918+0j),(0.9271098271281636+0j),(0.9991709778941251+0.04071064890455527j),(0.9991709778941251-0.04071064890455527j),(1.000000020251562+0j),(0.9999999797485024+0j)
23,-1.112381064328516,-0.3214869845078151,0.0,-0.5390953730119897,1.9166014248746104,-0.6386194949771371,12.58651880470484,-1.2959987981082763,1.0029423540205562,(1.0797106123588471+0j),(0.926174095682687+0j),(0.9992315585594133+0.03919556578538039j),(0.9992315585594133-0.03919556578538039j),(1.000000003597492+0j),(0.9999999964030885+0j)
24,-1.11461803977696,-0.3143365517965357,0.0,-0.5271134618576606,1.920197789889087,-0.6383224088810571,12.586519208565374,-1.2964634028264133,1.0030161283553745,(1.0807422741559047+0j),(0.9252899825558598+0j),(0.9992855202586883+0.03779482768670427j),(0.9992855202586883-0.03779482768670427j),(1.0000000051283398+0j),(0.9999999948723265+0j)
25,-1.1167016286340472,-0.3075128321518685,0.0,-0.5156782784553142,1.923547530744975,-0.6380463090537882,12.58651956833927,-1.296894760405944,1.003086605790302,(1.081716998870262+0j),(0.9244562127112472+0j),(0.9993337175865827+0.0364982313700116j),(0.9993337175865827-0.0364982313700116j),(1.0000000000002411+2.5778880334663353e-08j),(1.0000000000002411-2.5778880334663353e-08j)
26,-1.1186434095748703,-0.3010018242723681,0.0,-0.5047664985972234,1.9266692657992948,-0.6377895327837692,12.58651988948068,-1.2972955596033318,1.003153775096115,(1.0826364555339736+0j),(0.923671094659005+0j),(0.9993768844665447+0.035296498291009275j),(0.9993768844665447-0.035296498291009275j),(1.0000000000003695+1.702526916586007e-08j),(1.0000000000003695-1.702526916586007e-08j)
27,-1.120454025308255,-0.294790012220142,0.0,-0.494355589685336,1.929580108511208,-0.6375505625806411,12.586520176703806,-1.2976682468633731,1.0032176650065137,(1.0835026784338495+0j),(0.9229326515785926+0j),(0.999415651094195+0.034181227988962545j),(0.999415651094195-0.034181227988962545j),(1.0000000204808859+0j),(0.9999999795195613+0j)
28,-1.1221432608893336,-0.2888643640055263,0.0,-0.4844238117979685,1.9322957932773843,-0.6373280124017032,12.586520434091035,-1.2980150503936483,1.0032783353649097,(1.0843179442767517+0j),(0.9222387264543845+0j),(0.9994505589212122+0.033144837765650366j),(0.9994505589212122-0.033144837765650366j),(1.0000000000004192+7.116996803072703e-09j),(1.0000000000004192-7.116996803072703e-09j)
29,-1.1237201154773715,-0.2832123275961831,0.0,-0.4749502138633751,1.9348307907635232,-0.6371206153067708,12.586520665183434,-1.298338001577254,1.0033358695774552,(1.0850846749555672+0j),(0.9215870641993464+0j),(0.9994820737244066+0.03218049570184418j),(0.9994820737244066-0.03218049570184418j),(1.0000000000002+2.8246979626062375e-08j),(1.0000000000002-2.8246979626062375e-08j)
30,-1.1258155847684796,-0.2755085823939757,0.0,-0.4620370543729182,1.938199498625236,-0.6368455242854988,12.586520958649142,-1.2987660080409595,1.0034136282272246,(1.0861113265756233+0j),(0.9207159298793841+0j),(0.999522397614689+0.03090269674561834j),(0.999522397614689-0.03090269674561834j),(1.000000000000067+2.0532859270093684e-08j),(1.000000000000067-2.0532859270093684e-08j)
31,-1.1277574859214177,-0.2681578403388859,0.0,-0.4497149840069127,1.941321296203654,-0.6365911188026359,12.586521216796717,-1.2991614705550054,1.0034869675169358,(1.0870698244693977+0j),(0.9199041105654605+0j),(0.9995582292620502+0.02972114252958363j),(0.9995582292620502-0.02972114252958363j),(1.000000000000332+2.359847109647849e-08j),(1.000000000000332-2.359847109647849e-08j)
32,-1.1295580425654372,-0.2611449172376743,0.0,-0.4379586697840104,1.9442158398368168,-0.6363556805379186,12.586521444352083,-1.2995271417705903,1.0035560251954512,(1.0879639377753327+0j),(0.9191481126159181+0j),(0.9995901755733798+0.02862657674629842j),(0.9995901755733798-0.02862657674629842j),(1.0000000137451615+0j),(0.999999986255236+0j)
33,-1.131228453978036,-0.25445515561647,0.0,-0.4267436421232767,1.9469011384883304,-0.6361376457266872,12.586521645358593,-1.2998655195535846,1.003620965654821,(1.0887975041024198+0j),(0.9184444272080378+0j),(0.9996187491821638+0.027610800109675048j),(0.9996187491821638-0.027610800109675048j),(1.0000000000001972+2.0574992249489162e-08j),(1.0000000000001972-2.0574992249489162e-08j)
34,-1.13277898267078,-0.2480744238699195,0.0,-0.4160462966247309,1.9493936945708377,-0.6359355902836389,12.586521823281192,-1.3001788726162884,1.0036819706498417,(1.0895743347303912+0j),(0.9177896065681059+0j),(0.9996443843890259+0.02666654754789523j),(0.9996443843890259-0.02666654754789523j),(1.000000024256907+0j),(0.9999999757440127+0j)
35,-1.13421903457606,-0.2419891124203176,0.0,-0.4058438902916005,1.9517086328961928,-0.6357482164498731,12.586521981095004,-1.300469263348445,1.0037392319773535,(1.0902981472344628+0j),(0.9171803167216886+0j),(0.9996674503196248+0.025787376141048538j),(0.9996674503196248-0.025787376141048538j),(1.0000000039451447+0j),(0.9999999960560929+0j)
36,-1.135557232414749,-0.2361861274103726,0.0,-0.3961145331596897,1.9538598186670424,-0.6355743408273745,12.586522121358016,-1.3007385681304706,1.0037929459562422,(1.0909725212678447+0j),(0.916613370644966+0j),(0.99968826180835+0.02496756300248789j),(0.99968826180835-0.02496756300248789j),(1.0000000000001328+2.2873005368347184e-08j),(1.0000000000001328-2.2873005368347184e-08j)
37,-1.1368014828195188,-0.2306528823773977,0.0,-0.3868371761823626,1.9558599654304056,-0.6354128835989334,12.586522246274292,-1.3009884955102886,1.0038433091916203,(1.0916008695997301+0j),(0.9160857487850204+0j),(0.9997070883238717+0.024202015516690503j),(0.9997070883238717-0.024202015516690503j),(1.0000000000001736+2.808284734146193e-08j),(1.0000000000001736-2.808284734146193e-08j)
38,-1.1384470832025722,-0.2231138889178471,0.0,-0.3741964959704991,1.9585052622298624,-0.6351996584506844,12.586522403377993,-1.301318345680687,1.003910517706758,(1.0924335517840589+0j),(0.9153874836297499+0j),(0.999731234607572+0.023183152272133113j),(0.999731234607572-0.023183152272133113j),(1.0000000000002083+1.977927967831918e-08j),(1.0000000000002083-1.977927967831918e-08j)
39,-1.139963457570401,-0.2159233196812075,0.0,-0.3621396469961616,1.960942803129411,-0.6350034915558422,12.586522540007108,-1.3016215953926613,1.003973030483188,(1.0932022069760619+0j),(0.9147438539909697+0j),(0.999752748819368+0.02223603444200522j),(0.999752748819368-0.02223603444200522j),(1.0000000000001035+1.128251827994787e-08j),(1.0000000000001035-1.128251827994787e-08j)
40,-1.1413614213530017,-0.2090658780630096,0.0,-0.3506410542874376,1.9631899791251053,-0.6348229090831695,12.586522659083393,-1.3019005741110639,1.004031136500629,(1.0939117409864958+0j),(0.914150532015965+0j),(0.9997719779125069+0.021353973395429302j),(0.9997719779125069-0.021353973395429302j),(1.0000000000004834+1.308537575327136e-08j),(1.0000000000004834-1.308537575327136e-08j)
41,-1.1426508525823922,-0.2025268336437165,0.0,-0.3396760800225222,1.9652626735490768,-0.6346565721512993,12.586522763084153,-1.302157393165197,1.0040851198897978,(1.0945667643493753+0j),(0.9136034754316953+0j),(0.9997892150401482+0.02053108589250707j),(0.9997892150401482-0.02053108589250707j),(1.0000000000005231+1.5055237460423682e-09j),(1.0000000000005231-1.5055237460423682e-09j)
42,-1.1438407739673566,-0.1962920158750954,0.0,-0.329221014985013,1.967175394100604,-0.6345032638249529,12.586522854113216,-1.3023939675485612,1.0041352561507524,(1.0951715821142782+0j),(0.9130989301876582+0j),(0.9998047090321631+0.019762180958208787j),(0.9998047090321631-0.019762180958208787j),(1.0000000000002496+1.9073399643335092e-08j),(1.0000000000002496-1.9073399643335092e-08j)
43,-1.144939427884085,-0.1903478054149443,0.0,-0.3192530657229538,1.9689413934851203,-0.6343618774395848,12.586522933960136,-1.3026120353641604,1.0041818096531832,(1.0957301948836387+0j),(0.912633424422522+0j),(0.999818672050937+0.019042663067568816j),(0.999818672050937-0.019042663067568816j),(1.0000000000006657+1.3474604543040951e-08j),(1.0000000000006657-1.3474604543040951e-08j)
44,-1.1459543448642229,-0.1846811235674028,0.0,-0.3097503382327959,1.970572779593896,-0.6342314061083649,12.586523004149525,-1.3028131751945815,1.0042250320146637,(1.0962463063204044+0j),(0.9122037577094265+0j),(0.9998312857831633+0.018368450360942895j),(0.9998312857831633-0.018368450360942895j),(1.0000000013784172+0j),(0.9999999986219248+0j)
45,-1.1468924061226655,-0.1792794202109629,0.0,-0.3006918188739912,1.9720806160904207,-0.6341109332829723,12.586523065982073,-1.3029988216391892,1.0042651612094788,(1.0967233356404105+0j),(0.9118069867787286+0j),(0.9998427064692057+0.017735904818730656j),(0.9998427064692057-0.017735904818730656j),(1.0000000000002076+1.149317249881601e-08j),(1.0000000000002076-1.149317249881601e-08j)
46,-1.1477599006313426,-0.1741306605468985,0.0,-0.2920573531129155,1.973475014221449,-0.6339996242364904,12.586523120570275,-1.3031702792603035,1.004302421179823,(1.0971644327215366+0j),(0.9114404096376709+0j),(0.9998530690138887+0.017141773028370933j),(0.9998530690138887-0.017141773028370933j),(1.0000000000004032+1.4206831813091626e-08j),(1.0000000000004032-1.4206831813091626e-08j)
47,-1.1488996462414491,-0.16711849493651,0.0,-0.2802977696171135,1.9753070105911943,-0.6338535297685071,12.5865231885132,-1.3033952210035187,1.0043515867071169,(1.0977438225777032+0j),(0.9109593508354804+0j),(0.9998663995613797+0.01634573422403874j),(0.9998663995613797-0.01634573422403874j),(1.0000000157896631+0j),(0.9999999842112486+0j)
48,-1.1499415636977226,-0.1604334484064556,0.0,-0.2690865842731567,1.9769817462526271,-0.6337201212397646,12.58652324688316,-1.3036005326626512,1.0043967363909108,(1.0982732727176878+0j),(0.9105202000644956+0j),(0.9998783101782884+0.015600154946996904j),(0.9998783101782884-0.015600154946996904j),(1.0000000000002067+2.0002508049044646e-08j),(1.0000000000002067-2.0002508049044646e-08j)
49,-1.150894320424861,-0.1540608227377482,0.0,-0.2583991851834252,1.978513156392996,-0.6335982509558888,12.58652329713941,-1.3037880060130922,1.0044381877357953,(1.098757183605294+0j),(0.9101191918655639+0j),(0.9998889766116139+0.014900820450825613j),(0.9998889766116139-0.014900820450825613j),(1.0000000000001779+1.597417899576711e-08j),(1.0000000000001779-1.597417899576711e-08j)
50,-1.1517658053055742,-0.1479865045922532,0.0,-0.2482119350062714,1.9799139241740231,-0.6334868782937049,12.586523340507323,-1.303959263020234,1.0044762373767246,(1.0991995790315356+0j),(0.9097528957206055+0j),(0.9998985491804415+0.014243993405737301j),(0.9998985491804415-0.014243993405737301j),(0.9999999999999317+1.8025442090803437e-08j),(0.9999999999999317-1.8025442090803437e-08j)
51,-1.152563198563489,-0.1421969528210939,0.0,-0.2385021507318163,1.981195593162564,-0.6333850594214766,12.586523378015848,-1.3041157725945443,1.0045111613609912,(1.0996041332296176+0j),(0.9094181894925432+0j),(0.9999071570377758+0.013626345974279641j),(0.9999071570377758-0.013626345974279641j),(1.0000000000002267+1.597572892998014e-08j),(1.0000000000002267-1.597572892998014e-08j)
52,-1.1532930355030218,-0.1366791843740743,0.0,-0.2292480809359496,1.9823686698615195,-0.6332919380024883,12.586523410531818,-1.3042588656626375,1.0045432157115868,(1.0999741972222776+0j),(0.9091122342004663+0j),(0.9999149116256516+0.01304490350611016j),(0.9999149116256516-0.01304490350611016j),(1.0000000054984068+0j),(0.9999999945026099+0j)
53,-1.1539612645593158,-0.1314207591441296,0.0,-0.2204288810814701,1.983442717098978,-0.6332067368750957,12.586523438784807,-1.3043897485966118,1.0045726372409751,(1.1003128246926812+0j),(0.9088324497893246+0j),(0.9999219094834959+0.012496996946233562j),(0.9999219094834959-0.012496996946233562j),(1.0000000068711168+0j),(0.999999993130549+0j)
54,-1.1545733002151248,-0.1264097640216527,0.0,-0.2120245873835608,1.9844264391394488,-0.6331287505084894,12.58652346339106,-1.3045095153345394,1.0045996445190946,(1.1006227967677473+0j),(0.9085764922698005+0j),(0.9999282345587022+0.011980222551304256j),(0.9999282345587022-0.011980222551304256j),(1.000000000000165+1.3315216301862933e-08j),(1.000000000000165-1.3315216301862933e-08j)
