Index,Initial x,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.8343639995626977,-5.182815114579409e-12,-0.4503165446381413,-2.174149878287114e-19,16.557723669717795,2.9096170620932265,95.2515889025999,(-190.49792840428307+0j),(-0.005249400917700156+0j),(0.999899334857555+0j),(1.000100675373137+0j),(0.9999961559664591+0.002772733663994969j),(0.9999961559664591-0.002772733663994969j)
1,-0.8343659230793538,1.603803522145301e-11,-0.4503119999192007,-0.000999981577496,16.557727203877096,2.9096177295591894,95.24832790633,(-190.49140620348146+0j),(-0.005249580649229083+0j),(1.0051207683326129+0j),(0.9949053203458552+0j),(1.0000000000300808+1.5188803138202532e-06j),(1.0000000000300808-1.5188803138202532e-06j)
2,-0.8343759617363995,1.7365761608702337e-11,-0.4502892053153715,-0.0019996712644644,16.557727605336943,2.9096226008595307,95.23915136790112,(-190.47305264931447+0j),(-0.0052500864877999195+0j),(1.010268299867914+0j),(0.9898360664528432+0j),(1.0000000000408744+1.4717048072622732e-06j),(1.0000000000408744-1.4717048072622732e-06j)
3,-0.8343926850843914,1.6634578576168418e-11,-0.4502512327700164,-0.0029988098793641,16.55772827140556,2.909630716263594,95.2238616010494,(-190.44247227257625+0j),(-0.005250929523940198+0j),(1.0154434810417716+0j),(0.9847913928015524+0j),(1.0000000000369778+1.3994881178113336e-06j),(1.0000000000369778-1.3994881178113336e-06j)
4,-0.8344160816424102,1.7441895922416726e-11,-0.4501981096546616,-0.0039971232960555,16.55772919754906,2.909642070693186,95.2024651778978,(-190.3996782270226+0j),(-0.005252109715792492+0j),(1.0206471084899515+0j),(0.979770570737376+0j),(1.000000000036505+1.4170808916919463e-06j),(1.000000000036505-1.4170808916919463e-06j)
5,-0.8344461353992038,1.7386836336339838e-11,-0.4501298741419003,-0.0049943390672661,16.557730377443004,2.9096566570670057,95.17497119663888,(-190.344688731814+0j),(-0.005253627019916453+0j),(1.0258799932358944+0j),(0.9747728843524577+0j),(1.0000000000377884+1.350985314061663e-06j),(1.0000000000377884-1.350985314061663e-06j)
6,-0.8344828258760193,1.7508145607457688e-11,-0.45004657505698,-0.0059901869668864,16.55773180299,2.909674466328897,95.14139134495,(-190.27752720250726+0j),(-0.00525548137328951+0j),(1.0311429598802484+0j),(0.9697976312825491+0j),(1.000000000036973+1.3194281047758808e-06j),(1.000000000036973-1.3194281047758808e-06j)
7,-0.8345261282049318,1.7208285080202686e-11,-0.4499482716917761,-0.0069843995179005,16.557733464346832,2.9096954874833743,95.10173985250871,(-190.198222017977+0j),(-0.0052576727022721455+0j),(1.036436845320964+0j),(0.9648441239055048+0j),(1.000000000034892+1.3616481980969371e-06j),(1.000000000034892-1.3616481980969371e-06j)
8,-0.834576013223556,1.7476512726720998e-11,-0.4498350335803445,-0.0079767125025562,16.55773534995548,2.9097197076383305,95.05603331567262,(-190.10680638240302+0j),(-0.005260200930081008+0j),(1.0417624985140121+0j),(0.9599116894965404+0j),(1.0000000000422242+1.367117111122963e-06j),(1.0000000000422242-1.367117111122963e-06j)
9,-0.8346324475847803,1.7656180599301138e-11,-0.44970694023855,-0.0089668654517661,16.557737446579427,2.9097471120547547,95.00429070645288,(-190.00331826895587+0j),(-0.005263065975374611+0j),(1.047120780480164+0j),(0.9549996701910749+0j),(1.0000000000315474+1.3039997313466227e-06j),(1.0000000000315474-1.3039997313466227e-06j)
10,-0.8346953938806217,1.7564877720123514e-11,-0.4495640808704039,-0.0099546021110016,16.557739739345223,2.909777684202632,94.94653330240696,(-189.88780031175273+0j),(-0.00526626775508989+0j),(1.0525125640999535+0j),(0.9501074230505865+0j),(1.000000000036568+1.3364563625794973e-06j),(1.000000000036568-1.3364563625794973e-06j)
11,-0.8351063553874737,1.6892999539255645e-11,-0.4486317642388562,-0.0148496717152084,16.557753520070758,2.909977426667009,94.56830275758078,(-189.13131813200545+0j),(-0.005287331625477193+0j),(1.080012560978061+0j),(0.9259151570429516+0j),(1.0000000000250586+1.4341624736006697e-06j),(1.0000000000250586-1.4341624736006697e-06j)
12,-0.8356725061158002,1.6803462547170903e-11,-0.4473484564992653,-0.0196488748992521,16.55776912124335,2.91025300800168,94.04398540171064,(-188.08265397577344+0j),(-0.005316811405917596+0j),(1.1084875032648918+0j),(0.9021301521708226+0j),(1.0000000000358442+1.0041059977454543e-06j),(1.0000000000358442-1.0041059977454543e-06j)
13,-0.8363855726316755,1.7461769192421882e-11,-0.4457339024489747,-0.0243269678892398,16.557783169006726,2.9106007853668263,93.37823241450457,(-186.7511101070853+0j),(-0.00535472051233875+0j),(1.1380586511952318+0j),(0.8786893355235914+0j),(1.0000000000372227+7.818698676311664e-07j),(1.0000000000372227-7.818698676311664e-07j)
