Index,Initial x,Initial z,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4
167,0.855419333314442,-3.727253912120757e-51,-0.092671698118061,3.1839351723764686,2.2543465301040833,2.7178177075913883,(-0.19065861270336357+0j),(0.999542095305362+0j),(1.0004581136720163+0j),(-5.244976802642056+0j)
168,0.8552302141637022,3.8760308539911236e-52,-0.09270364076259882,3.1838405808922485,2.2743428511271397,3.084489992891957,(-0.16660059891765583+0j),(0.9999999916034215+0.00012664398025216098j),(-0.7810768212064292-0.6244349440686686j),(-6.002379387000415+0j)
169,0.8550561185378003,3.497563194847209e-51,-0.09280288260943353,3.1837414582425154,2.294338834900776,3.4917767441993157,(-0.14625663058175573+0j),(0.9999999104423908+0.0004222972216954912j),(-0.7513086856740145-0.6599509518371568j),(-6.837296857923215+0j)
170,0.8548970508615683,1.9022567585109299e-50,-0.09297044104990182,3.1836373484041043,2.314333496352614,3.9437453202564763,(-0.12888920891208946+0j),(0.999527211411378+0j),(1.0004730114721208+0j),(-7.75860143170352+0j)
171,0.8547530495998212,3.3764535439211565e-50,-0.09320752954179669,3.183527765685888,2.3343258001401845,4.444818767144731,(-0.1139512013969256+0j),(0.999430151778793+0j),(1.0005701723464313+0j),(-8.775686332975162+0j)
172,0.854624188605072,3.342819034957517e-71,-0.09351556497889933,3.183412191092867,2.354314647932243,4.9998011554639525,(-0.10102461500182144+0j),(0.999937188184189+0j),(1.0000628149844526+0j),(-9.898577696007385+0j)
173,0.8545105786071286,4.1408491021981556e-92,-0.09389617576301061,3.183290068368124,2.3742988645242824,5.613904286919892,(-0.08978251582698155+0j),(0.9995216267653801+0j),(1.0004786014247322+0j),(-11.138026058088368+0j)
174,0.8544123688402565,6.034601572005035e-51,-0.09435121049778893,3.1831607996879354,2.3942771825948146,6.2927797588450725,(-0.07996420608609428+0j),(0.9997308391513413+0j),(1.0002692324507834+0j),(-12.50559531166251+0j)
175,0.8543297487993177,1.3475186519884964e-72,-0.09488274719033722,3.1830237409871525,2.414248225899891,7.042544144966197,(-0.07135859062643517+0j),(0.999999947585621+0.00032243064153178794j),(-0.5422065317876179-0.8402452480596619j),(-14.013729699360633+0j)
176,0.8542629501103102,1.4497721808027411e-39,-0.09549310280126891,3.182878196895759,2.4342104906975885,7.869813215965629,(-0.06379245929643303+0j),(0.9999990354685071+0.0013886492069045669j),(-0.5030410896389319-0.8642624960825765j),(-15.675833972675624+0j)
177,0.8542122484928862,-1.1275986698089761e-64,-0.09618484292636655,3.1827234152736246,2.4541623251942277,8.781710722009818,(-0.05712229593393811+0j),(0.9999999700604283+0.0002432915042257013j),(-0.46288279271294785-0.8864194944890796j),(-17.50629914812266+0j)
178,0.8541779657822474,-4.043647778289143e-84,-0.0969607913201825,3.182558581339819,2.4741019068132974,9.785931671736723,(-0.051227840427675655+0j),(0.9992917587128569+0j),(1.0007087425270373+0j),(-19.520635503076427+0j)
179,0.8541604719646233,-1.4592879963675934e-104,-0.09782403887992691,3.182382811406524,2.4940272171112015,10.890733160946931,(-0.04600777105482837+0j),(0.9996434457001983+0j),(1.000356680753981+0j),(-21.735458550874938+0j)
180,0.8541601871638427,-2.2771955329985507e-48,-0.09877795159444626,3.1821951462467046,2.5139360142071556,12.104959789435053,(-0.041376097056904294+0j),(0.9999999680256884+0.0002514297111218882j),(-0.33743546546304093-0.9413486636989318j),(-24.1685434818475+0j)
181,0.854177583495843,-1.4950376682371706e-46,-0.09982617682625929,3.1819945441507587,2.533825802665661,13.438058209445371,(-0.03725941088026584+0j),(0.9991917897210957+0j),(1.0008088633058334+0j),(-26.838857008041003+0j)
182,0.8542131866823539,-1.4962937611873058e-64,-0.10097264712908072,3.18177987376223,2.553693800879659,14.900096898897953,(-0.033594701156714875+0j),(0.9999996714191548+0.0008101315374514034j),(-0.2506903984207741-0.9680673138473719j),(-29.7665990966763+0j)
183,0.8542675772843299,-1.0874215407751211e-82,-0.10222158061117044,3.1815499068279975,2.573536906162828,16.501707524954327,(-0.030327763738574938+0j),(0.9996317110401093+0j),(1.0003684238639214+0j),(-32.973087286198805+0j)
184,0.8543413913797613,-1.3109803992413816e-44,-0.1035774766365673,3.1813033110561193,2.59335165798541,18.25413371969586,(-0.02741163766499723+0j),(0.9999995496988201+0.0009485799703077333j),(-0.1624574048428503-0.9867155576009595j),(-36.480855801752675+0j)
185,0.85443532046923,1.211904218755916e-43,-0.10504510541560311,3.181038643346434,2.613134200096382,20.16909989425267,(-0.024805651369567902+0j),(0.9997451294297146+0j),(1.0002549347817933+0j),(-40.31339413714793+0j)
186,0.8545501103475985,-2.490956334191355e-58,-0.10662948978699967,3.1807543437460106,2.632880242681923,22.25884559268846,(-0.022474325828340556+0j),(0.9999992129130808+0.0012543332367992868j),(-0.07362703738642848-0.9972858463679091j),(-44.4952168595824+0j)
187,0.8546865586331668,4.583525554256605e-72,-0.10833587725203438,3.1804487305836444,2.652585026231563,24.535919154393767,(-0.020386756554719526+0j),(0.9999982729067087+0.0018583311252722344j),(-0.02927099312360354-0.9995715126801168j),(-49.05145155226241+0j)
188,0.8548455106012008,9.690077134977809e-52,-0.11016970012180188,3.180119997352062,2.672243289425871,27.0130344589805,(-0.01851592872924336+0j),(0.9991678201518248+0j),(1.0008328720695034+0j),(-54.0075529892686+0j)
189,0.8550278529321627,1.2201178934637431e-73,-0.11213652151993404,3.179766212028586,2.691849244119503,29.703124028660163,(-0.016838018770885935+0j),(0.9991013214283504+0j),(1.0008994861275373+0j),(-59.38941003856664+0j)
190,0.8552345049656781,-3.127134710807869e-49,-0.11424196500925743,3.179385319644139,2.7113965613421103,32.618802920685006,(-0.01533218554505932+0j),(0.9993118031276551+0j),(1.00068866987618+0j),(-65.22227365584584+0j)
