Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
10,-1.9986619326729331,9.948628889199884e-06,1.4091660396162295,58.47640470180482,3.0115946015344,1.0000000033101897,(0.2328981547189259+0.9725011986512092j),(0.2328981547189259-0.9725011986512092j),(0.9999186376006253+0j),(1.000081368900103+0j),(-0.9517563724774866+0.30685470087400524j),(-0.9517563724774866-0.30685470087400524j)
11,-1.9986619467934552,1.0932032393762163e-05,1.409166060060985,58.4764048815273,3.011594593230072,1.0000000000000069,(0.07373265818664354+0.9972779245634129j),(0.07373265818664354-0.9972779245634129j),(0.999999998127447+4.5516604361858745e-05j),(0.999999998127447-4.5516604361858745e-05j),(-0.9517564506431975+0.30685445843110054j),(-0.9517564506431975-0.30685445843110054j)
12,-1.9986619621924329,1.1912278427731336e-05,1.4091660823567551,58.47640507744433,3.0115945841739613,1.000000000000003,(-0.09982742736455899+0.9950046842877721j),(-0.09982742736455899-0.9950046842877721j),(0.9999999973295162+5.953451581138647e-05j),(0.9999999973295162-5.953451581138647e-05j),(-0.9517565359245506+0.3068541939176952j),(-0.9517565359245506-0.3068541939176952j)
13,-1.9986619788520683,1.2889098841904748e-05,1.4091661064778307,58.47640528948799,3.01159457437637,1.000000002051513,(-0.28758382255021275+0.9577554084870249j),(-0.28758382255021275-0.9577554084870249j),(0.9999359471855488+0j),(1.0000640559575056+0j),(-0.9517566282710266+0.3068539074904349j),(-0.9517566282710266-0.3068539074904349j)
14,-1.9986619967550063,1.386229460034454e-05,1.4091661323990323,58.47640551729842,3.0115945638476465,1.0000000003394622,(-0.48937070010378886+0.8720760869887249j),(-0.48937070010378886-0.8720760869887249j),(0.9999739455183736+0j),(1.0000260565203933+0j),(-0.9517567274050704+0.3068536000101229j),(-0.9517567274050704-0.3068536000101229j)
15,-1.998662015881822,1.4831633701486616e-05,1.4091661600922636,58.476405760709504,3.0115945525991337,1.0000000024136113,(-0.7049378624660216+0.7092690498433757j),(-0.7049378624660216-0.7092690498433757j),(0.9999305244826932+0j),(1.0000694806300428+0j),(-0.95175683339399+0.30685327126792167j),(-0.95175683339399-0.30685327126792167j)
16,-1.9986620362128655,1.579691944326476e-05,1.4091661895290664,58.47640601944404,3.0115945406424123,1.0000000023180136,(-0.934086400625572+0.3570464324453296j),(-0.934086400625572-0.3570464324453296j),(0.9999319139414734+0j),(1.0000680882737865+0j),(-0.9517569460104155+0.30685292196898445j),(-0.9517569460104155-0.30685292196898445j)
17,-1.998662057727825,1.6757968794193372e-05,1.4091662206800186,58.47640629321561,3.011594527989459,1.1765836330369193,(-1.7965425393608432+0j),(-0.5566248631266895+0j),(0.9999796233736423+0j),(1.000020374645116+0j),(-0.951757065149033+0.3068525524398965j),(-0.951757065149033-0.3068525524398965j)
18,-1.9986620804048076,1.7714579332614118e-05,1.40916625351346,58.47640658183993,3.011594514653048,1.4321704598141527,(-2.457407472575002+0j),(-0.4069328161606036+0j),(0.9999407924668569+0j),(1.0000592100863963+0j),(-0.9517571907888319+0.3068521627457222j),(-0.9517571907888319-0.3068521627457222j)
19,-1.9986621042230028,1.866661514987689e-05,1.4091662879992166,58.476406884942605,3.011594500645536,1.700622354514119,(-3.0761617850335274+0j),(-0.3250801368148054+0j),(0.9999506355220448+0j),(1.0000493662845786+0j),(-0.9517573227192142+0.30685175353961136j),(-0.9517573227192142-0.30685175353961136j)
20,-1.998662129159958,1.9613912700486396e-05,1.409166324104795,58.47640720227821,3.011594485980086,1.9816809742543693,(-3.692546101528213+0j),(-0.27081587473051083+0j),(0.9999489211676936+0j),(1.0000510800440543+0j),(-0.9517574608465272+0.3068513251119319j),(-0.9517574608465272-0.3068513251119319j)
21,-1.99866215519321,2.0556332287582664e-05,1.4091663617976722,58.47640753355881,3.011594470669904,2.2750876231462365,(-4.318619784134459+0j),(-0.23155547797749795+0j),(0.9999196830213676+0j),(1.0000803238011104+0j),(-0.9517576050826322+0.306850877735991j),(-0.9517576050826322-0.306850877735991j)
22,-1.998662182299464,2.149373025920616e-05,1.4091664010441365,58.47640787853709,3.0115944547286437,2.580613011436056,(-4.959595751762971+0j),(-0.2016292967391542+0j),(0.9999641897440262+0j),(1.0000358108261997+0j),(-0.9517577551805594+0.30685041217773273j),(-0.9517577551805594-0.30685041217773273j)
23,-1.9986622104566876,2.2426017170803877e-05,1.409166441812258,58.47640823684736,3.0115944381693485,2.897968845813918,(-5.617936388140122+0j),(-0.1780013470027185+0j),(0.9999999994009257+3.2501345738681316e-05j),(0.9999999994009257-3.2501345738681316e-05j),(-0.951757911131304+0.3068499284649665j),(-0.951757911131304-0.3068499284649665j)
24,-1.9986622396408416,2.3353061100210965e-05,1.4091664840672615,58.476408608266745,3.011594421006069,3.2269746795230523,(-6.295095534750712+0j),(-0.15885384496038124+0j),(0.999999989319661+0.00015233031914151825j),(0.999999989319661-0.00015233031914151825j),(-0.9517580726242356+0.3068494275611057j),(-0.9517580726242356-0.3068494275611057j)
25,-1.9986622698297996,2.4274795451504827e-05,1.4091665277770782,58.47640899243321,3.0115944032519075,3.5672409269113885,(-6.991443092515593+0j),(-0.1430318458779855+0j),(0.9999999829053261+0.00017173086321313122j),(0.9999999829053261-0.00017173086321313122j),(-0.9517582397874822+0.30684890906864315j),(-0.9517582397874822-0.30684890906864315j)
26,-1.998662300999651,2.5191116338609983e-05,1.4091665729071148,58.47640938910405,3.0115943849208557,3.918534785724322,(-7.70732283296734+0j),(-0.12974681649292502+0j),(0.9999999883925776+0.00015659609280739282j),(0.9999999883925776-0.00015659609280739282j),(-0.951758412485803+0.3068483734069384j),(-0.951758412485803-0.3068483734069384j)
27,-1.9986623331276117,2.610195785087758e-05,1.4091666194243726,58.47640979797039,3.011594366026336,4.280628192996497,(-8.442810500761164+0j),(-0.11844394350964191+0j),(0.9999999909411559+0.00013183075470957992j),(0.9999999909411559-0.00013183075470957992j),(-0.9517585905091788+0.3068478212273342j),(-0.9517585905091788-0.3068478212273342j)
28,-1.998662366190764,2.7007257458346123e-05,1.4091666672956733,58.47641021874087,3.011594346581819,4.653288057698297,(-9.197849312861097+0j),(-0.10872099933975746+0j),(0.9999999869320648+0.00015062999433983383j),(0.9999999869320648-0.00015062999433983383j),(-0.9517587736074424+0.3068472533056786j),(-0.9517587736074424-0.3068472533056786j)
29,-1.9986624001668287,2.790697274292199e-05,1.4091667164887447,58.47641065110423,3.011594326600449,5.036199932007842,(-9.97212028743861+0j),(-0.10027962352043773+0j),(0.9999999940828401+0.00011051704778194001j),(0.9999999940828401-0.00011051704778194001j),(-0.9517589618885524+0.30684666930701465j),(-0.9517589618885524-0.30684666930701465j)
30,-1.9986624350325664,2.880104213791705e-05,1.4091667669699608,58.47641109481128,3.011594306095832,5.429164807412935,(-10.765439253020446+0j),(-0.09288984204138552+0j),(0.9999999937902113+0.00011151669967638124j),(0.9999999937902113-0.00011151669967638124j),(-0.9517591550135004+0.3068460702827595j),(-0.9517591550135004-0.3068460702827595j)
31,-1.998662470766248,2.968944231025183e-05,1.409166818707846,58.47641154955454,3.0115942850807853,5.831907483027399,(-11.577440085892947+0j),(-0.08637492659382119+0j),(0.9999999948303864+0.0001033017069090394j),(0.9999999948303864-0.0001033017069090394j),(-0.9517593529596164+0.3068454563031361j),(-0.9517593529596164-0.3068454563031361j)
32,-1.9986625073457809,3.057214247974019e-05,1.4091668716704182,58.47641201506213,3.011594263568287,6.244192492928371,(-12.407787934583025+0j),(-0.08059452674473741+0j),(0.9999999920758159+0.00012447519754646782j),(0.9999999920758159-0.00012447519754646782j),(-0.9517595555432531+0.3068448279376663j),(-0.9517595555432531-0.3068448279376663j)
33,-1.9986625447493405,3.144911823459383e-05,1.4091669258260815,58.47641249106808,3.0115942415711654,6.665756515083677,(-13.256071688817325+0j),(-0.0754371056483129+0j),(0.9999999942454946+0.00010330178000960766j),(0.9999999942454946-0.00010330178000960766j),(-0.9517597627618994+0.30684418519404777j),(-0.9517597627618994-0.30684418519404777j)
