Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.1681628775765638,3.0048559737991307,47.76745077660596,1.9857896008879212,19332924.06590045,(38665848.131800875+0j),(229616.3312766984+0j),(0.9999831249695499+0.005523063666166303j),(0.9999831249695499-0.005523063666166303j),(-1.7204154321338982e-05+0j),(4.355097123570291e-06+0j)
1,0.1691037426908147,2.9949689012379577,47.762785039353375,1.9885853657867028,18857520.9001748,(37715041.80034956+0j),(225735.0111060979+0j),(0.9999954165177127+0.0035301553109135975j),(0.9999954165177127-0.0035301553109135975j),(-5.606887408143116e-06+0j),(4.429951112613983e-06+0j)
2,0.1700509550148994,2.9850833421972776,47.75808863857605,1.9913904900436545,18395576.938212857,(36791153.87642568+0j),(221898.1396640885+0j),(1.0041415471910682+0j),(0.9958730458391643+0j),(-7.1857783722653904e-06+0j),(4.506604529920219e-06+0j)
3,0.1710045590706331,2.9751993223713327,47.75336120140952,1.9942049815764449,17895796.474511825,(35791592.94902362+0j),(218105.57455685755+0j),(0.9999765109127694+0.0053737258801287895j),(0.9999765109127694-0.0053737258801287895j),(7.037668415743688e-06+0j),(4.584931361378582e-06+0j)
4,0.1719645995685796,2.9653168679720583,47.74860234896202,1.9970288476421558,17427996.889054947,(34855993.77810986+0j),(214357.1177702773+0j),(0.9999770021449031+0.005777238189659686j),(0.9999770021449031-0.005777238189659686j),(3.6850372468869003e-06+0j),(4.665126245345239e-06+0j)
5,0.1729311214043322,2.955436005741072,47.7438116962077,1.9998620948217276,16965099.623981282,(33930199.247962534+0j),(210652.60914036754+0j),(0.9999783830008202+0.006498223019785598j),(0.9999783830008202-0.006498223019785598j),(-2.7534086159687747e-06+0j),(4.7471253185110425e-06+0j)
6,0.1739041696546062,2.9455567629621418,47.73898885187251,2.00270472900392,16518321.79261265,(33036643.58522527+0j),(206991.86831817948+0j),(0.9999868507780468+0.005886686738741953j),(0.9999868507780468-0.005886686738741953j),(-8.128190203122472e-06+0j),(4.831127438311279e-06+0j)
7,0.174883789573165,2.935679167473789,47.73413341832461,2.0055567553693923,16066584.094129022,(32133168.188258015+0j),(203374.72558795766+0j),(0.9999760934309436+0.007038460049239123j),(0.9999760934309436-0.007038460049239123j),(7.485136990300322e-06+0j),(4.917045214667949e-06+0j)
8,0.1758700265865438,2.925803247682438,47.72924499145579,2.008418178374127,15621203.478828693,(31242406.957657352+0j),(199800.993381035+0j),(0.9999667932569386+0.008151536026406768j),(0.9999667932569386-0.008151536026406768j),(5.220230854193766e-06+0j),(5.004979877979622e-06+0j)
9,0.1768629262895999,2.915929032575713,47.72432316056752,2.011289001732793,15195781.73470849,(30391563.469416946+0j),(196270.47934967765+0j),(0.9999760784899208+0.00764193352131142j),(0.9999760784899208-0.00764193352131142j),(6.62304117823291e-07+0j),(5.095017657238316e-06+0j)
10,0.1778625344408503,2.9060565517362487,47.71936750824983,2.0141692284017623,14788574.442363769,(29577148.8847275+0j),(192782.99440952943+0j),(0.9999802674859521+0.0052902447551228735j),(0.9999802674859521-0.0052902447551228735j),(2.513861900609952e-06+0j),(5.18719874863062e-06+0j)
11,0.1788688969576133,2.896185835355811,47.71437761025998,2.0170588605617574,14366384.145956015,(28732768.291911997+0j),(189338.36051785597+0j),(0.9999755571042038+0.006398358159428905j),(0.9999755571042038-0.006398358159428905j),(4.388734995073939e-06+0j),(5.281561481983676e-06+0j)
