Index,Initial x,Initial z,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.955794689164112,0.0,4.5739168002578935e-09,1.3451206629041406,20.61907070152994,3.0405308157656106,1.0007727130940132,(1.0095715101420002+0j),(0.9999999882839188+0.00015457013225012638j),(0.9999999882839188-0.00015457013225012638j),(0.9905192347946199+0j),(-1.0400922155521048+0j),(-0.9614532106359208+0j)
1,-1.955794699759412,0.0,-7.816789093747985e-07,1.3451206761012906,20.619070047771032,3.040530816135071,1.000772828043487,(0.9999749649025358+0.007084035554366781j),(0.9999749649025358-0.007084035554366781j),(0.9999999428343362+1.3199685181564074e-05j),(0.9999999428343362-1.3199685181564074e-05j),(-1.0400952561241505+0j),(-0.9614503999628218+0j)
2,-1.9557947003272202,0.0,-1.781659815059419e-06,1.3451206769324346,20.619070053872946,3.040530815819017,1.0007728299195642,(0.9999201701735267+0.012635221790372311j),(0.9999201701735267-0.012635221790372311j),(1.0000113802002442+0j),(0.9999886242271604+0j),(-1.0400953057471736+0j),(-0.9614503540919528+0j)
3,-1.9557947013409533,0.0,-2.7816144721694e-06,1.3451206784117409,20.619070063248405,3.040530815267063,1.0007728342544522,(0.9998055796147276+0.01972122078353668j),(0.9998055796147276-0.01972122078353668j),(0.9999999382370175+6.1024894432572e-06j),(0.9999999382370175-6.1024894432572e-06j),(-1.040095420406548+0j),(-0.961450248102356+0j)
4,-1.955794702806961,0.0,-3.78152687914924e-06,1.3451206805492908,20.619070076227622,3.0405308144735868,1.0007728407947427,(0.9996405317267621+0.026811543456343238j),(0.9996405317267621-0.026811543456343238j),(0.9999999742332837+1.2769556742474738e-05j),(0.9999999742332837-1.2769556742474738e-05j),(-1.0400955933990468+0j),(-0.9614500881904358+0j)
5,-1.9557947047196664,0.0,-4.781377932225532e-06,1.3451206833381297,20.619070093152423,3.0405308134384184,1.0007728491573444,(0.9994253334863287+0.03389726908473236j),(0.9994253334863287-0.03389726908473236j),(0.9999999889765767+6.700114789909001e-06j),(0.9999999889765767-6.700114789909001e-06j),(-1.0400958145911599+0j),(-0.9614498837235288+0j)
6,-1.9557947070797819,0.0,-5.781152531406542e-06,1.3451206867791203,20.6190701139696,3.040530812161646,1.0007728595071734,(0.9991598674456668+0.04098206473946847j),(0.9991598674456668-0.04098206473946847j),(1.000000014668343+6.3586154962383854e-06j),(1.000000014668343-6.3586154962383854e-06j),(-1.0400960883441448+0j),(-0.9614496306702035+0j)
7,-1.9557947098911102,0.0,-6.780840953499888e-06,1.3451206908769606,20.619070138432022,3.0405308106435105,1.0007728718504505,(0.9988442090408198+0.048065046595793796j),(0.9988442090408198-0.048065046595793796j),(0.9999999987361914+8.249601609570353e-06j),(0.9999999987361914-8.249601609570353e-06j),(-1.0400964148215295+0j),(-0.9614493288793725+0j)
8,-1.955794713142902,0.0,-7.780410668509288e-06,1.3451206956182373,20.619070167195396,3.0405308088837013,1.0007728861458616,(0.9984783684297205+0.055145044264305554j),(0.9984783684297205-0.055145044264305554j),(1.0000100206585176+0j),(0.9999899516575029+0j),(-1.0400967929293636+0j),(-0.9614489793623584+0j)
9,-1.9557947168437737,0.0,-8.779860522555756e-06,1.3451207010136281,20.61907019970978,3.040530806882667,1.0007729023921967,(0.9980623291799694+0.06222219288448905j),(0.9980623291799694-0.06222219288448905j),(1.0000139962525418+0j),(0.9999859899526176+0j),(-1.0400972226342744+0j),(-0.9614485821501221+0j)
10,-1.9557947209929707,0.0,-9.779174711343121e-06,1.3451207070621463,20.619070236005424,3.0405308046405075,1.0007729205828557,(0.9975961225016796+0.06929626703915502j),(0.9975961225016796-0.06929626703915502j),(1.0000044527495071+0j),(0.9999955510568566+0j),(-1.0400977037601162+0j),(-0.9614481374055925+0j)
11,-1.9557947255855719,0.0,-1.0778326819497132e-05,1.3451207137576073,20.619070276368085,3.0405308021571997,1.000772940759253,(0.9970798178380367+0.0763665883366354j),(0.9970798178380367-0.0763665883366354j),(0.9999977873825397+0j),(1.0000021936636831+0j),(-1.0400982374005125+0j),(-0.9614476441179913+0j)
12,-1.9557947306255163,0.0,-1.1777311292427415e-05,1.3451207211048548,20.619070320534142,3.0405307994330535,1.000772962889438,(0.9965133931192849+0.08343293325090011j),(0.9965133931192849-0.08343293325090011j),(1.000000001374152+1.1680742611708634e-05j),(1.000000001374152-1.1680742611708634e-05j),(-1.0400988227084496+0j),(-0.9614471030704261+0j)
13,-1.955794736109477,0.0,-1.277610428924197e-05,1.3451207290996725,20.619070368685577,3.040530796468147,1.00077298695569,(0.9958969781214253+0.09049427783708633j),(0.9958969781214253-0.09049427783708633j),(0.9999888683988312+0j),(1.0000111263062246+0j),(-1.0400994592131059+0j),(-0.9614465146982716+0j)
14,-1.9557947420387547,0.0,-1.3774694662820046e-05,1.3451207377436134,20.61907042071818,3.040530793262708,1.0007730129919596,(0.9952304972796939+0.09755135294680144j),(0.9952304972796939-0.09755135294680144j),(0.9999999954086395+1.1112560679976498e-05j),(0.9999999954086395-1.1112560679976498e-05j),(-1.0401001478101104+0j),(-0.961445878173807+0j)
15,-1.9557947484129095,0.0,-1.4773066653528912e-05,1.3451207470360453,20.619070476632317,3.040530789816949,1.000773040982797,(0.9945140730708126+0.10460290562111799j),(0.9945140730708126-0.10460290562111799j),(0.9999999954495031+4.251355624031853e-06j),(0.9999999954495031-4.251355624031853e-06j),(-1.0401008880883154+0j),(-0.9614451938772771+0j)
16,-1.955794755232423,0.0,-1.5771207883263485e-05,1.3451207569774877,20.619070536371336,3.0405307861311064,1.0007730709123352,(0.9937477145832732+0.11164889656005572j),(0.9937477145832732-0.11164889656005572j),(1.0000000018933886+5.8156095157241435e-06j),(1.0000000018933886-5.8156095157241435e-06j),(-1.0401016796254083+0j),(-0.9614444621992595+0j)
17,-1.9557947624941852,0.0,-1.6769092987601744e-05,1.3451207675639656,20.619070600093483,3.0405307822053445,1.0007731027958866,(0.9929314998926859+0.11868884319554361j),(0.9929314998926859-0.11868884319554361j),(1.0000087622770713+0j),(0.9999912329142026+0j),(-1.0401025228234744+0j),(-0.9614436827682988+0j)
18,-1.9557947702005856,0.0,-1.7766717267674002e-05,1.3451207787983699,20.619070667622722,3.0405307780399786,1.0007731366282955,(0.992065430160804+0.12572260466550586j),(0.992065430160804-0.12572260466550586j),(1.000000004429304+3.5981837818663593e-06j),(1.000000004429304-3.5981837818663593e-06j),(-1.0401034175430928+0j),(-0.9614428557134994+0j)
19,-1.9557947783468823,0.0,-1.8764047589908358e-05,1.3451207906746692,20.619070739210613,3.0405307736351825,1.0007731724019968,(0.9911496226700112+0.13274945199570656j),(0.9911496226700112-0.13274945199570656j),(1.0000123442955353+0j),(0.9999876640652929+0j),(-1.0401043635809668+0j),(-0.9614419812230246+0j)
20,-1.9557947869372054,0.0,-1.9761088101748444e-05,1.3451208031979232,20.6190708145737,3.0405307689913306,1.0007732101088183,(0.9901840830065685+0.13976937709284093j),(0.9901840830065685-0.13976937709284093j),(1.0000000012987695+7.0355613180673956e-06j),(1.0000000012987695-7.0355613180673956e-06j),(-1.0401053607175614+0j),(-0.961441059500076+0j)
21,-1.9557947959717803,0.0,-2.0757827699771916e-05,1.345120816368306,20.619070893662844,3.0405307641087176,1.0007732497834883,(0.9891688887571934+0.1467818133210886j),(0.9891688887571934-0.1467818133210886j),(1.0000080204405775+0j),(0.9999919885509668+0j),(-1.040106409867619+0j),(-0.9614400896993553+0j)
22,-1.9557948054452654,0.0,-2.17542286642864e-05,1.3451208301790114,20.619070976757005,3.0405307589875736,1.0007732913548137,(0.9881041441412377+0.1537862087861772j),(0.9881041441412377-0.1537862087861772j),(1.000010882065602+0j),(0.9999891200342479+0j),(-1.040107509144757+0j),(-0.9614390735648691+0j)
23,-1.9557948153584395,0.0,-2.275028180950323e-05,1.34512084463089,20.619071063768523,3.040530753628249,1.0007733348838797,(0.9869898480029674+0.16078263743534743j),(0.9869898480029674-0.16078263743534743j),(0.9999999917058846+7.201847584061865e-06j),(0.9999999917058846-7.201847584061865e-06j),(-1.0401086601603011+0j),(-0.9614380096074563+0j)
24,-1.955794825713042,0.0,-2.3745984076305626e-05,1.3451208597259985,20.619071154553534,3.040530748031102,1.0007733803347845,(0.9858261068106715+0.16777030608383298j),(0.9858261068106715-0.16777030608383298j),(1.0000075973214102+0j),(0.9999924141995689+0j),(-1.0401098619607618+0j),(-0.9614368987088057+0j)
25,-1.9557948365067515,0.0,-2.4741311684666184e-05,1.3451208754612949,20.61907124920476,3.0405307421964602,1.0007734277168392,(0.9846129981969411+0.17474911299012033j),(0.9846129981969411-0.17474911299012033j),(0.9999999958428545+4.063438878459331e-06j),(0.9999999958428545-4.063438878459331e-06j),(-1.0401111147880386+0j),(-0.9614357406456392+0j)
26,-1.9557948477380867,0.0,-2.5736244858351564e-05,1.3451208918347786,20.619071347763104,3.040530736124693,1.000773477038123,(0.9833505655135184+0.18171863618142672j),(0.9833505655135184-0.18171863618142672j),(1.0000056445639078+0j),(0.9999943582180474+0j),(-1.0401124188512196+0j),(-0.9614345352250276+0j)
27,-1.9557948594083692,0.0,-2.673078013642902e-05,1.3451209088479728,20.619071450105356,3.0405307298161803,1.0007735282670154,(0.9820389242606489+0.18867842394257112j),(0.9820389242606489-0.18867842394257112j),(1.0000010234655186+0j),(0.9999989803181805+0j),(-1.0401137733095995+0j),(-0.9614332832244317+0j)
28,-1.9557948715154843,0.0,-2.7724894533310815e-05,1.3451209264980724,20.619071556305446,3.0405307232713117,1.0007735814146352,(0.980678155674049+0.1956281149189461j),(0.980678155674049-0.1956281149189461j),(1.0000086428648662+0j),(0.9999913531521181+0j),(-1.0401151784523168+0j),(-0.9614319843769543+0j)
29,-1.9557948840586543,0.0,-2.8718572882642426e-05,1.3451209447839496,20.619071666358316,3.0405307164904922,1.000773636489548,(0.9792682966123709+0.20256751628907782j),(0.9792682966123709-0.20256751628907782j),(1.0000061324874239+0j),(0.9999938720806361+0j),(-1.0401166345008086+0j),(-0.9614306384782876+0j)
30,-1.9557948970386783,0.0,-2.971181041293543e-05,1.3451209637064598,20.619071780168102,3.040530709474128,1.0007736934673597,(0.9778094704054232+0.20949613404355685j),(0.9778094704054232-0.20949613404355685j),(1.000000004482821+1.1310587914845586e-05j),(1.000000004482821-1.1310587914845586e-05j),(-1.0401181408049576+0j),(-0.9614292461297618+0j)
31,-1.9557949104522545,0.0,-3.0704576320291745e-05,1.3451209832612785,20.619071897869183,3.0405307022226786,1.0007737523707556,(0.9763017753604153+0.21641362424564745j),(0.9763017753604153-0.21641362424564745j),(0.999999993301292+8.02298508968742e-06j),(0.999999993301292-8.02298508968742e-06j),(-1.040119697959116+0j),(-0.9614278067823969+0j)
32,-1.955794924300965,0.0,-3.169687194161744e-05,1.3451210034502425,20.61907201931885,3.040530694736562,1.000773813163851,(0.974745299857884+0.22331951307910652j),(0.974745299857884-0.22331951307910652j),(1.0000088357945367+0j),(0.9999911596669266+0j),(-1.0401213050091305+0j),(-0.9614263213185698+0j)
33,-1.9557949385824631,0.0,-3.2688672685636404e-05,1.3451210242702274,20.619072144593954,3.0405306870162447,1.000773875856697,(0.9731401212893438+0.2302136120341292j),(0.9731401212893438-0.2302136120341292j),(1.0000029972048985+0j),(0.9999969995567336+0j),(-1.0401229622150294+0j),(-0.9614247894983629+0j)
