Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.787790474680432,-1.3593178595851497e-07,2.346143990935314,31.3902556158818,2.9856198174779855,1.0000001213672791,(0.9995074403619787+0j),(1.000492802359677+0j),(0.9999996521503384+0j),(1.0000003478631205+0j),(0.9999976852496821+0.0021516261933395863j),(0.9999976852496821-0.0021516261933395863j)
1,-2.787791332701399,9.985407311551607e-05,2.346145114642096,31.3902556141816,2.9856190972182537,1.0000000000000002,(0.9999784899155164+0.006558937016549974j),(0.9999784899155164-0.006558937016549974j),(0.9999999836952115+0j),(1.0000000163565554+0j),(0.999997685301571+0.0021516020780624947j),(0.999997685301571-0.0021516020780624947j)
2,-2.7877939517263943,0.0001997609886794424,2.346148542307725,31.390255620419676,2.9856169101683188,1.0000000000000004,(0.9999139142378457+0.013121132053662962j),(0.9999139142378457-0.013121132053662962j),(0.9999999686196167+0j),(1.0000000313870099+0j),(0.9999976854189452+0.0021515475247569716j),(0.9999976854189452-0.0021515475247569716j)
3,-2.7877983087831626,0.0002995031534387284,2.346154244633353,31.39025563080629,2.9856132717352164,1.0000000000000004,(0.999806484240944+0.019672164474196185j),(0.999806484240944-0.019672164474196185j),(0.9999999712735108+0j),(1.0000000287422792+0j),(0.9999976856141767+0.0021514567831666695j),(0.9999976856141767-0.0021514567831666695j)
4,-2.7878043897215306,0.0003990003132713181,2.3461622030982134,31.390255645327915,2.9856081937158683,1.0,(0.9996565486254652+0.02620657915619439j),(0.9996565486254652-0.02620657915619439j),(0.9999999999989628+4.0258267746128623e-08j),(0.9999999999989628-4.0258267746128623e-08j),(0.9999976858865548+0.002151330177019942j),(0.9999976858865548-0.002151330177019942j)
5,-2.7878121750728755,0.0004981747542326133,2.3461723922207045,31.3902556639642,2.985601692339455,1.0000000000000004,(0.9994645868546854+0.032719101522495186j),(0.9994645868546854-0.032719101522495186j),(0.9999999738618517+0j),(1.0000000261560367+0j),(0.9999976862351171+0.0021511681500323713j),(0.9999976862351171-0.0021511681500323713j)
6,-2.787821640382083,0.0005969520314867827,2.3461847799930426,31.390255686687688,2.985593787989835,1.0,(0.9992312010934552+0.039204677792920195j),(0.9992312010934552-0.039204677792920195j),(1.0000000000007732+1.111979576512193e-08j),(1.0000000000007732-1.111979576512193e-08j),(0.9999976866586464+0.0021509712585760093j),(0.9999976866586464-0.0021509712585760093j)
7,-2.7878327566261594,0.0006952616008552425,2.3461993284283893,31.39025571346795,2.9855845048602703,1.0,(0.9989571060833228+0.04565851739330087j),(0.9989571060833228-0.04565851739330087j),(0.999999999997465+2.5685592450505483e-08j),(0.999999999997465-2.5685592450505483e-08j),(0.9999976871557013+0.0021507401629588343j),(0.9999976871557013-0.0021507401629588343j)
8,-2.7878454906677814,0.0007930373483306691,2.346215994154921,31.390255744270043,2.985573870573159,1.0000000000000002,(0.9986431179251027+0.05207612710252311j),(0.9986431179251027-0.05207612710252311j),(0.9999999833167271+0j),(1.0000000166904095+0j),(0.9999976877246299+0.0021504756197118363j),(0.9999976877246299-0.0021504756197118363j)
9,-2.787859805758761,0.000890218003521276,2.346234729074641,31.390255779055774,2.985561915760978,1.0000000000000009,(0.9982901416706593+0.058453340660830334j),(0.9982901416706593-0.058453340660830334j),(0.9999999619438229+0j),(1.000000038065617+0j),(0.999997688363608+0.0021501784666995575j),(0.999997688363608-0.0021501784666995575j)
