Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1780232391703738,0.0,-0.2746892656848225,4.1069317514459994e-26,20.78260216350604,3.10007719219877,2753.7212459012735,(5507.44231023006+0j),(0.00018157250245737084+0j),(0.9999999979117873+5.682863482198275e-05j),(0.9999999979117873-5.682863482198275e-05j),(0.9999997704149113+0.0006776190470625954j),(0.9999997704149113-0.0006776190470625954j)
1,1.1780184036310957,0.0,-0.2746801261886503,-0.0029973795855297953,20.78271169532483,3.100071829832571,2753.3820496027247,(5506.763917610593+0j),(0.00018159486207303786+0j),(0.9999693615690045+0.007827868479812672j),(0.9999693615690045-0.007827868479812672j),(1.0001632515286891+0j),(0.9998367752560567+0j)
2,1.1780039922297874,0.0,-0.2746524654581702,-0.0059787998378957275,20.783038321868744,3.100056095017488,2752.3805169619286,(5504.760780860095+0j),(0.00018166093438717057+0j),(0.9998780643577821+0.015615920870489736j),(0.9998780643577821-0.015615920870489736j),(1.000180293986041+0j),(0.9998197377538475+0j)
3,1.177980306340869,0.0,-0.27460699113836395,-0.008929388701946971,20.78357510328225,3.1000302391187144,2750.7355055457942,(5501.470575452965+0j),(0.00018176957236056758+0j),(0.9997277628642951+0.023332368800650125j),(0.9997277628642951-0.023332368800650125j),(1.0001793916855735+0j),(0.9998206408505279+0j)
4,1.1779595856789957,0.0,-0.27456719702697807,-0.010872844145471846,20.78404463818256,3.100007625291555,2749.2973900277584,(5498.594361920053+0j),(0.0001818646532568555+0j),(0.999596020778038+0.028421693209916214j),(0.999596020778038-0.028421693209916214j),(1.0001666863168286+0j),(0.9998333435338633+0j)
5,1.1779476925291024,0.0,-0.27454435083490103,-0.011845234648713196,20.784314119895644,3.099994647692882,2748.4726978461867,(5496.944367800848+0j),(0.0001819192226064759+0j),(0.9995202948337556+0.030970610489280084j),(0.9995202948337556-0.030970610489280084j),(1.0001665606398793+0j),(0.9998334682667588+0j)
6,1.1779347422276103,0.0,-0.2745194694674203,-0.012820503290080122,20.78460753880629,3.099980518355838,2747.5743248208246,(5495.148440982429+0j),(0.0001819787046491383+0j),(0.9994377474862273+0.03352891680729815j),(0.9994377474862273-0.03352891680729815j),(1.0001653138892828+0j),(0.9998347137648885+0j)
7,1.1779207321245158,0.0,-0.27449254670128437,-0.013798230009185132,20.784924950831563,3.0999652348492837,2746.6032915127057,(5493.20640098237+0j),(0.0001820430432050492+0j),(0.9993483365290803+0.036095748461928284j),(0.9993483365290803-0.036095748461928284j),(1.0001770276287518+0j),(0.9998230027906694+0j)
8,1.1779056610647438,0.0,-0.274463579092452,-0.014778011514037728,20.785266377688018,3.0999487964102963,2745.559234087398,(5491.1182860625295+0j),(0.00018211228035852747+0j),(0.9992520338430826+0.03867002082951459j),(0.9992520338430826-0.03867002082951459j),(1.0001650070683519+0j),(0.9998350219887253+0j)
9,1.1778895292787979,0.0,-0.2744325657656618,-0.015759463083420525,20.785631809388313,3.0999312038252866,2744.4422639768086,(5488.884345767232+0j),(0.00018218639023858725+0j),(0.999148811280477+0.04125108622493114j),(0.999148811280477-0.04125108622493114j),(1.0001692363004302+0j),(0.9998307927697376+0j)
10,1.177872338265607,0.0,-0.27439950819543046,-0.016742220035371378,20.786021206907936,3.099912459299285,2743.2526933352774,(5486.50501799536+0j),(0.00018226538802826442+0j),(0.9990386506369674+0.04383803425732985j),(0.9990386506369674-0.04383803425732985j),(1.0001660403377886+0j),(0.9998339881381781+0j)
11,1.1778540906704242,0.0,-0.27436440997330697,-0.017725938863133433,20.78643450496722,3.099892566322005,2741.9905483579387,(5483.9809143665925+0j),(0.00018234930677321523+0j),(0.99892153829255+0.04643014482399392j),(0.99892153829255-0.04643014482399392j),(1.00016051675113+0j),(0.999839510540741+0j)
12,1.1778347901602133,0.0,-0.2743272765719168,-0.018710298047552473,20.786871614874528,3.0998715295303105,2740.656491669299,(5481.312800900551+0j),(0.00018243804982208997+0j),(0.9987974643159849+0.04902675257475733j),(0.9987974643159849-0.04902675257475733j),(1.0001594811845165+0j),(0.9998405465338935+0j)
13,1.1778144412987213,0.0,-0.27428811510806994,-0.019694998566285565,20.787332427372213,3.0998493545705963,2739.251053359584,(5478.501580553191+0j),(0.00018253165077573714+0j),(0.9986664240343873+0.051627237454621173j),(0.9986664240343873-0.051627237454621173j),(1.000168270519333+0j),(0.999831759223262+0j)
14,1.1777930494233293,0.0,-0.2742469341109214,-0.02067976411978942,20.787816815446593,3.0998260479622433,2737.774256037009,(5475.548272792184+0j),(0.00018263011114752766+0j),(0.9985284196650838+0.054230935580859424j),(0.9985284196650838-0.054230935580859424j),(1.000162636337563+0j),(0.9998373905120882+0j)
15,1.1777706205254461,0.0,-0.2742037432940286,-0.02166434110497359,20.78832463705248,3.099801616966338,2736.22711218921,(5472.454004259512+0j),(0.00018273337562820272+0j),(0.9983834489017893+0.05683738179312039j),(0.9983834489017893-0.05683738179312039j),(1.0001587689886113+0j),(0.999841256854358+0j)
