Index,Initial x,Initial y,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.07382258420377345,1.1077389595069491,0.5581366816498196,0.5254372132758969,-0.8120532431884011,25.140537305367197,1.782126350670258,1.0204140484967525,(1.223502281463395+0j),(0.8173258155300621+0j),(0.9999999999641136+8.555293859399725e-06j),(0.9999999999641136-8.555293859399725e-06j),(0.9999998887049921+0j),(1.0000001112950196+0j)
1,-0.0738231980020694,1.107737659764312,0.558143697062923,0.5254376657225388,-0.8120601999127108,25.140537647752705,1.7821059901319534,1.0204142304229544,(1.2235033774733826+0j),(0.817325083372533+0j),(0.999911909647536+0.013273015713786678j),(0.999911909647536-0.013273015713786678j),(0.999999946326839+0j),(1.0000000536730942+0j)
2,-0.07382409068150268,1.1077389427985975,0.5581364732768621,0.5254380169758632,-0.8120534791956313,25.140537320974957,1.7821254225180831,1.0204140557479697,(1.2235023251481285+0j),(0.8173257863476403+0j),(0.9999964838175561+0.002651859139847143j),(0.9999964838175561-0.002651859139847143j),(0.9999996732973745+0j),(1.0000003267023916+0j)
3,-0.07383241748887336,1.1077392346265922,0.558133212159589,0.5254424221476428,-0.8120527453500481,25.14053730740557,1.7821262290323505,1.0204140491451061,(1.2235022853693491+0j),(0.8173258129207713+0j),(0.9999994835768402+0.0010162860433764835j),(0.9999994835768402-0.0010162860433764835j),(0.9999997264015709+0j),(1.0000002736064428+0j)
4,-0.07384082958850872,1.107739479083202,0.5581301948600428,0.5254468773008009,-0.8120522715683767,25.140537306797608,1.7821262641617779,1.0204140476415393,(1.223502276311223+0j),(0.8173258189721372+0j),(0.999999720688246+0.0007474493972417181j),(0.999999720688246-0.0007474493972417181j),(0.9999999605309948+0j),(1.0000000394190687+0j)
5,-0.07384924200575013,1.1077397234627806,0.5581271785828812,0.5254513326202904,-0.8120517985827554,25.140537306224154,1.7821262966352305,1.0204140459461226,(1.2235022660971904+0j),(0.8173258257950377+0j),(0.9999997540285718+0.000701384600005467j),(0.9999997540285718-0.000701384600005467j),(0.9999999709504083+0j),(1.0000000290583513+0j)
6,-0.07385765672363102,1.1077399665761463,0.5581241694689411,0.5254557892773761,-0.812051332900666,25.140537306009104,1.7821263071800884,1.0204140436545697,(1.223502252291758+0j),(0.8173258350173617+0j),(0.9999997808379122+0.0006621237195262418j),(0.9999997808379122-0.0006621237195262418j),(0.9999999483044895+0j),(1.0000000516151273+0j)
7,-0.07386607106681695,1.1077402100331057,0.558121159207268,0.5254602456917,-0.8120508657161579,25.14053730571411,1.7821263218734793,1.0204140406672182,(1.2235022342943263+0j),(0.8173258470399193+0j),(0.9999998494151545+0.0005487224732826725j),(0.9999998494151545-0.0005487224732826725j),(1.0000000000387415+6.113427207963942e-08j),(1.0000000000387415-6.113427207963942e-08j)
8,-0.07387448585496605,1.1077404533394097,0.5581181503501247,0.5254647023476061,-0.8120503997328504,25.140537305473682,1.782126332709316,1.020414037191398,(1.2235022133541569+0j),(0.8173258610283146+0j),(0.9999998594319275+0.0005305453776203438j),(0.9999998594319275-0.0005305453776203438j),(0.9999999998332976+9.114746933288989e-08j),(0.9999999998332976-9.114746933288989e-08j)
9,-0.07388290040139128,1.1077406969103925,0.5581151407522463,0.5254691588391803,-0.8120499326789509,25.140537305174792,1.7821263464146635,1.0204140332125435,(1.223502189383746+0j),(0.8173258770411662+0j),(0.9999998170152797+0.0006047444395763567j),(0.9999998170152797-0.0006047444395763567j),(0.9999999371859587+0j),(1.0000000630580776+0j)
10,-0.07389131761624405,1.107740938987221,0.558112139504967,0.5254736168870725,-0.8120494741797092,25.140537305296434,1.7821263344853595,1.020414028527955,(1.2235021611614327+0j),(0.8173258958942379+0j),(0.9999998219244703+0.0005969592221295152j),(0.9999998219244703-0.0005969592221295152j),(0.9999999553189635+0j),(1.0000000444759622+0j)
11,-0.07397547427526882,1.1077433755918324,0.558082079718558,0.5255181870381807,-0.8120448233113441,25.1405373029474,1.7821263937299952,1.0204139488621402,(1.2235016812154202+0j),(0.8173262165087892+0j),(0.9999995237776138+0.0009760541645673251j),(0.9999995237776138-0.0009760541645673251j),(0.9999998677930899+0j),(1.0000001319736305+0j)
12,-0.07406805120311237,1.1077460666788854,0.5580490305521533,0.525567214470942,-0.8120396917869723,25.140537298985798,1.7821264702551667,1.0204137915068365,(1.223500733226628+0j),(0.8173268497864054+0j),(0.9999988700222244+0.0015033240811969564j),(0.9999988700222244-0.0015033240811969564j),(0.9999998525799093+0j),(1.0000001474021525+0j)
13,-0.0741698881871391,1.1077490418888294,0.558012686588795,0.5256211430749491,-0.8120340177302188,25.140537292436626,1.7821265994097701,1.020413534002813,(1.223499181885942+0j),(0.8173278861198751+0j),(0.9999977993081397+0.002097975695466874j),(0.9999977993081397-0.002097975695466874j),(0.9999998496390349+0j),(1.0000001502344362+0j)
14,-0.07428191261189096,1.1077523322402012,0.5579727232687045,0.5256804631620129,-0.8120277436818821,25.140537282728385,1.7821267871382875,1.020413148703662,(1.2234968606235332+0j),(0.8173294367833758+0j),(0.9999961803796238+0.0027639042714562756j),(0.9999961803796238-0.0027639042714562756j),(0.9999997698147646+0j),(1.0000002302479003+0j)
